timestamp,angle_interp,pMMG
0,173.927582,-0.54087591
0.001,173.9266218,-0.540908232
0.002,173.9256616,-0.540940554
0.003,173.9247015,-0.540972876
0.004,173.9237413,-0.541005197
0.005,173.9227811,-0.526037519
0.006,173.921821,-0.526069841
0.007,173.9208608,-0.526102162
0.008,173.9199006,-0.541134484
0.009,173.9189405,-0.541166806
0.01,173.9179803,-0.541199128
0.011,173.9170201,-0.541231449
0.012,173.91606,-0.541263771
0.013,173.9150998,-0.541296093
0.014,173.9141396,-0.541328415
0.015,173.9155519,-0.541280875
0.016,173.9169641,-0.541233335
0.017,173.9183764,-0.541185795
0.018,173.9197886,-0.541138255
0.019,173.9212009,-0.541090715
0.02,173.9226131,-0.545043175
0.021,173.9240254,-0.544995635
0.022,173.9254376,-0.544948095
0.023,173.9268499,-0.544900555
0.024,173.9282621,-0.560853015
0.025,173.9296744,-0.560805475
0.026,173.9310866,-0.560757935
0.027,173.9324989,-0.560710395
0.028,173.9339111,-0.560662855
0.029,173.9353234,-0.560615315
0.03,173.9367356,-0.540567775
0.031,173.9381479,-0.540520235
0.032,173.9395601,-0.540472695
0.033,173.9409724,-0.540425155
0.034,173.9423846,-0.540377615
0.035,173.9437969,-0.540330075
0.036,173.9452091,-0.540282535
0.037,173.9466214,-0.540234995
0.038,173.9480336,-0.540187455
0.039,173.9494459,-0.540139915
0.04,173.9508581,-0.560092375
0.041,173.9522704,-0.560044835
0.042,173.9536826,-0.559997295
0.043,173.9550949,-0.559949755
0.044,173.9565071,-0.559902215
0.045,173.9579194,-0.543854676
0.046,173.9593316,-0.543807136
0.047,173.9607439,-0.543759596
0.048,173.9607555,-0.543759203
0.049,173.9607672,-0.543758811
0.05,173.9607788,-0.543758419
0.051,173.9607905,-0.543758027
0.052,173.9608021,-0.543757634
0.053,173.9608138,-0.543757242
0.054,173.9608254,-0.54375685
0.055,173.9608371,-0.543756457
0.056,173.9608487,-0.543756065
0.057,173.9608604,-0.539755673
0.058,173.960872,-0.543755281
0.059,173.9608837,-0.543754888
0.06,173.9608953,-0.543754496
0.061,173.960907,-0.543754104
0.062,173.9609186,-0.543753712
0.063,173.9609303,-0.543753319
0.064,173.960942,-0.543752927
0.065,173.9609536,-0.543752535
0.066,173.9609653,-0.543752143
0.067,173.9609769,-0.54375175
0.068,173.9609886,-0.543751358
0.069,173.9610002,-0.539750966
0.07,173.9610119,-0.539750574
0.071,173.9610235,-0.539750181
0.072,173.9610352,-0.539749789
0.073,173.9610468,-0.539749397
0.074,173.9610585,-0.539749005
0.075,173.9610701,-0.539748612
0.076,173.9610818,-0.53974822
0.077,173.9610934,-0.539747828
0.078,173.9611051,-0.539747435
0.079,173.9611167,-0.539747043
0.08,173.9611284,-0.539746651
0.081,173.9608304,-0.539756681
0.082,173.9605325,-0.539766711
0.083,173.9602345,-0.539776741
0.084,173.9599366,-0.539786771
0.085,173.9596386,-0.5437968
0.086,173.9593407,-0.54380683
0.087,173.9590427,-0.54381686
0.088,173.9587448,-0.54382689
0.089,173.9584468,-0.54383692
0.09,173.9581489,-0.54384695
0.091,173.9578509,-0.54385698
