timestamp,pMMG,angle_interp
-31.87,108.972,173.588231
-31.869,108.972,173.58904
-31.868,108.972,173.589849
-31.867,108.972,173.5906579
-31.866,108.972,173.5914669
-31.865,108.972,173.5898384
-31.864,108.972,173.5882098
-31.863,108.972,173.5865813
-31.862,108.972,173.5849527
-31.861,108.972,173.5833242
-31.86,108.972,173.5816956
-31.859,108.972,173.5800671
-31.858,108.972,173.5784386
-31.857,108.972,173.57681
-31.856,108.972,173.5751815
-31.855,108.972,173.5735529
-31.854,108.972,173.5719244
-31.853,108.992,173.5702958
-31.852,108.992,173.5686673
-31.851,108.992,173.5670388
-31.85,108.992,173.5654102
-31.849,108.992,173.5637817
-31.848,108.992,173.5621531
-31.847,108.992,173.5605246
-31.846,108.992,173.558896
-31.845,108.992,173.5572675
-31.844,108.992,173.5556389
-31.843,108.992,173.5540104
-31.842,108.992,173.5523819
-31.841,108.992,173.5507533
-31.84,108.992,173.5491248
-31.839,108.992,173.5474962
-31.838,108.992,173.5458677
-31.837,108.992,173.5442391
-31.836,108.992,173.5426106
-31.835,108.992,173.5409821
-31.834,108.992,173.5393535
-31.833,108.992,173.537725
-31.832,108.992,173.5402165
-31.831,109.012,173.542708
-31.83,109.012,173.5451996
-31.829,109.012,173.5476911
-31.828,109.012,173.5501826
-31.827,109.012,173.5526742
-31.826,108.972,173.5551657
-31.825,108.972,173.5576573
-31.824,108.972,173.5601488
-31.823,108.972,173.5626403
-31.822,108.972,173.5651319
-31.821,108.972,173.5676234
-31.82,108.972,173.5701149
-31.819,108.972,173.5726065
-31.818,108.972,173.575098
-31.817,108.992,173.5775895
-31.816,108.972,173.5800811
-31.815,108.972,173.5825726
-31.814,108.972,173.5850642
-31.813,108.972,173.5875557
-31.812,108.972,173.5900472
-31.811,108.972,173.5925388
-31.81,108.972,173.5950303
-31.809,108.972,173.5975218
-31.808,108.972,173.6000134
-31.807,108.972,173.6025049
-31.806,108.992,173.6049964
-31.805,108.972,173.607488
-31.804,108.972,173.6099795
-31.803,108.972,173.612471
-31.802,108.972,173.6149626
-31.801,108.972,173.6174541
-31.8,108.972,173.6199457
-31.799,108.972,173.620478
-31.798,108.972,173.6210103
-31.797,108.972,173.6215426
-31.796,108.972,173.6220749
-31.795,108.972,173.6226072
-31.794,108.972,173.6231395
-31.793,108.972,173.6236718
-31.792,108.972,173.6242041
-31.791,108.992,173.6247364
-31.79,108.972,173.6252687
-31.789,108.977,173.625801
-31.788,108.977,173.6263333
-31.787,108.977,173.6268656
-31.786,108.992,173.6273979
-31.785,108.972,173.6279302
-31.784,108.972,173.6284625
-31.783,108.972,173.6289948
-31.782,108.992,173.6295271
-31.781,108.992,173.6300594
-31.78,108.992,173.6305917
-31.779,108.992,173.631124
-31.778,108.992,173.6316563
-31.777,108.992,173.6321886
-31.776,108.992,173.6327209
-31.775,108.992,173.6332532
