GaitPhase,pMMGMean_1,pMMGMean_2,pMMGMean_3,pMMGStd_1,pMMGStd_2,pMMGStd_3,ThetaMean_1,ThetaMean_2,ThetaMean_3
0,-1.4659273635,1.0214634515,-0.94939792,0.135963438702529,0.149142995521885,0.0531603655913506,176.96862335,176.96862335,176.96862335
0.1001001001001,-1.47572509114665,1.01174369077828,-0.951282355248248,0.122780907667476,0.135894341559979,0.0502339306199016,176.960869360561,176.960869360561,176.960869360561
0.2002002002002,-1.48625789379329,1.00185041455656,-0.971075544996496,0.13716157573977,0.149505437787612,0.0501413427466767,176.946993091592,176.946993091592,176.946993091592
0.3003003003003,-1.50629069743994,0.991457138334835,-0.968868734687688,0.109822943722058,0.13553936954897,0.0528771820788886,176.933116878228,176.933116878228,176.933116878228
0.4004004004004,-1.49832350008659,0.991063862113113,-0.978661924492993,0.126324932137911,0.135715436934058,0.038642458501242,176.919240642242,176.919240642242,176.919240642242
0.500500500500501,-1.49885630288589,0.982670585891391,-0.99845511397948,0.126563464802358,0.124577795820162,0.0102655997507421,176.905364402803,176.905364402803,176.905364402803
0.600600600600601,-1.50572544221622,0.969510042402402,-0.98824830348949,0.135762930524749,0.110282593794481,0.0243151478381678,176.891488174775,176.891488174775,176.891488174775
0.700700700700701,-1.51992190874024,0.960384033414414,-0.988041493484985,0.127040530492944,0.100181193201386,0.0242225602197562,176.877611923924,176.877611923924,176.877611923924
0.800800800800801,-1.51248092127327,0.967971410965465,-0.99782450973974,0.13813937105668,0.111336302263594,0.0101638265915734,176.863053120571,176.863053120571,176.863053120571
0.900900900900901,-1.51107685543243,0.957531535873874,-0.997593195207207,0.140661271461716,0.0969679110351528,0.0102828060943186,176.847532714414,176.847532714414,176.847532714414
1.001001001001,-1.52117278959159,0.951091660855355,-1.00736188017467,0.15378977358455,0.110883791017367,0.00374034931956059,176.832012282683,176.832012282683,176.832012282683
1.1011011011011,-1.53176872375075,0.958651786390891,-0.999130565142142,0.139341111241108,0.121971244021352,0.00769233938927589,176.816491863363,176.816491863363,176.816491863363
1.2012012012012,-1.52289919194444,0.955672871887387,-1.00224459595495,0.153932666840531,0.125335731970756,0.0181992058997223,176.800971446396,176.800971446396,176.800971446396
1.3013013013013,-1.52696059156907,0.957772036381381,-1.02666793518018,0.152870194132525,0.148388790602484,0.0249008612890528,176.785451069119,176.785451069119,176.785451069119
1.4014014014014,-1.53257518221672,0.957264453212713,-1.00640101511912,0.140068811472472,0.148258288678658,0.00331478286279088,176.767541653954,176.767541653954,176.767541653954
1.5015015015015,-1.52474800166366,0.966452700632132,-1.00597414254354,0.152793358147931,0.162474211597158,0.00335358545711965,176.738900026877,176.738900026877,176.738900026877
1.6016016016016,-1.52869032216066,0.96832740136036,-1.01101791148098,0.148873316816044,0.166347217595926,0.0111290422650855,176.707919106056,176.707919106056,176.707919106056
1.7017017017017,-1.54712713715215,0.974696596593093,-1.02505066918268,0.152739237451977,0.176576398678976,0.0316168488954931,176.67693821046,176.67693821046,176.67693821046
1.8018018018018,-1.55031670473874,0.963818544716216,-1.01142157154955,0.149883749495109,0.162414288986016,0.0129848859651886,176.645957302252,176.645957302252,176.645957302252
1.9019019019019,-1.54950627233534,0.973719271618118,-1.01412719532182,0.152685115773577,0.177637810051555,0.0174537061697808,176.614976386036,176.614976386036,176.614976386036
2.002002002002,-1.5601958399955,0.962062440962463,-1.003665458002,0.166093083992805,0.196315466344512,0.0315853380860939,176.583995485836,176.583995485836,176.583995485836
2.1021021021021,-1.57082420416667,0.949229565207207,-1.00322747803153,0.152544439456613,0.179261040842913,0.0315412378272339,176.554608554955,176.554608554955,176.554608554955
2.2022022022022,-1.58248969206557,0.938000223562062,-1.00258100992843,0.137387595760426,0.164369921407793,0.0311473732190229,176.511232856807,176.511232856807,176.511232856807
2.3023023023023,-1.59467142768218,0.91888982586987,-1.00373415807107,0.149784938787759,0.187830780308175,0.0615828215600744,176.454412061662,176.454412061662,176.454412061662
2.4024024024024,-1.58685316284234,0.907779427929429,-1.00088730618919,0.107027952113856,0.173107872673408,0.0297928723660808,176.397591294144,176.397591294144,176.397591294144
2.5025025025025,-1.60053489860661,0.896169030297798,-1.02204045390541,0.089019703341362,0.157677858694175,0.0602283201904277,176.340770547698,176.340770547698,176.340770547698
2.6026026026026,-1.60071663403203,0.99255863220971,-0.921193601960461,0.0618190668926343,0.00907300710450519,0.172688155111605,176.283949755606,176.283949755606,176.283949755606
2.7027027027027,-1.61289836964865,0.980948234608108,-0.940346749837838,0.0742164099199679,0.0245030210412688,0.17201090479166,176.227129012162,176.227129012162,176.227129012162
2.8028028028028,-1.625311753497,0.979166850652152,-0.939409982146146,0.0586570813914654,0.0255490890913738,0.171460813833128,176.16427520966,176.16427520966,176.16427520966
2.9029029029029,-1.63728962225325,0.967337868833333,-0.938448184528529,0.0440419635529831,0.0405622802213491,0.171002755926643,176.099741998949,176.099741998949,176.099741998949
3.003003003003,-1.63971946532883,0.956044336415916,-0.937505028684685,0.0429297923601504,0.0831025035592153,0.193198478056892,176.036459559309,176.036459559309,176.036459559309
3.1031031031031,-1.65164930828979,0.956250804113113,-0.936561871894394,0.0283825921626838,0.0810949998444185,0.192766783113436,175.973177102953,175.973177102953,175.973177102953
3.2032032032032,-1.65607915145245,0.944957271035035,-0.945066163444444,0.0244419947468607,0.0953509517791034,0.207258651258927,175.909894696597,175.909894696597,175.909894696597
3.3033033033033,-1.64700899421171,0.960663738507508,-0.942675559773273,0.0155610492229532,0.120920612848391,0.237158226933674,175.84661219024,175.84661219024,175.84661219024
