SquatPhase,pMMGMean_1,pMMGMean_2,pMMGMean_3,pMMGMean_4,pMMGMean_5,pMMGStd_1,pMMGStd_2,pMMGStd_3,pMMGStd_4,pMMGStd_5,ThetaMean_1,ThetaMean_2,ThetaMean_3,ThetaMean_4,ThetaMean_5
0,-3.19182099309371,-0.886614980388148,-6.4618748036569,-4.21490774412913,-3.34547638786468,1.14385084712556,0.575676631496447,2.37363965936461,2.01897440315078,0.428774708176562,176.629928833333,177.036299266667,176.629928833333,177.036299266667,176.629928833333
0.1001001001001,-3.18649660545291,-0.88063728228897,-6.45640247137112,-4.21322754113668,-3.35230981428911,1.13791383767493,0.569561623531129,2.36624578718892,2.05646594647462,0.430428850619629,176.604780642176,177.004120367301,176.604780642176,177.004120367301,176.604780642176
0.2002002002002,-3.17525300015816,-0.880356071123495,-6.4439712783882,-4.22526048458544,-3.34404077305946,1.1111309206535,0.590855152370449,2.35267266606115,2.05670577588905,0.437023337070344,176.579632404204,176.971941501268,176.579632404204,176.971941501268,176.579632404204
0.3003003003003,-3.16917926429965,-0.881392968400665,-6.43886550446335,-4.21660116997403,-3.33724584046623,1.08819762335017,0.590712666742942,2.34219524093207,2.06656386572009,0.436481511660989,176.554484206907,176.939762619319,176.554484206907,176.939762619319,176.554484206907
0.4004004004004,-3.1579941167561,-0.870669895917174,-6.42652192072735,-4.22498833361717,-3.34338981397665,1.09203529542886,0.594896878636936,2.29580280646291,2.05184620566291,0.436385710830414,176.529336027995,176.907583801034,176.529336027995,176.907583801034,176.529336027995
0.500500500500501,-3.13669089958233,-0.878204275641104,-6.42192054178719,-4.22029642737795,-3.33534515570107,1.08127709364681,0.583773086890494,2.27488774746826,2.08163476841742,0.435826736555526,176.504787031598,176.873281579947,176.504787031598,176.873281579947,176.504787031598
0.600600600600601,-3.13268817029528,-0.871994761733585,-6.38378286517178,-4.23607526062389,-3.32202287846708,1.04603514660017,0.579114392036668,2.24068044124688,2.08927163774672,0.445516634211635,176.457605384585,176.828599648849,176.457605384585,176.828599648849,176.457605384585
0.700700700700701,-3.12120393914171,-0.886466731364899,-6.37339484903386,-4.23618977152466,-3.28783716977713,1.03470085770459,0.586304665987382,2.22615195487316,2.08670286781792,0.453439424126599,176.410477272973,176.783471281215,176.410477272973,176.783471281215,176.410477272973
0.800800800800801,-3.12305164555463,-0.882642005326211,-6.36867136637162,-4.23764563608031,-3.28831772745752,1.03482157589531,0.601850567459565,2.22018323413652,2.08871026287978,0.453062573917196,176.363369007207,176.737248324391,176.363369007207,176.737248324391,176.363369007207
0.900900900900901,-3.16424356428017,-0.871663916030445,-6.36867102491977,-4.23909993300687,-3.24615093204172,1.0631646805352,0.590818633389944,2.2053261275273,2.08728076245061,0.485578977147492,176.317603338739,176.691025394895,176.317603338739,176.691025394895,176.317603338739
1.001001001001,-3.17323076341882,-0.87092083779773,-6.35575270679381,-4.24094997569673,-3.23734703296016,1.06906957448741,0.604497036837244,2.19310390330901,2.09945303486706,0.486479104339341,176.273868045779,176.646983545846,176.273868045779,176.646983545846,176.273868045779
1.1011011011011,-3.16538618788843,-0.883751734320881,-6.3489513761204,-4.25049111426376,-3.22407373550764,1.07979230739025,0.60127140562475,2.18588486956838,2.09283571426085,0.508743322978172,176.288146459092,176.614144012312,176.288146459092,176.614144012312,176.288146459092
1.2012012012012,-3.16649451994621,-0.885033205199112,-6.33534312290115,-4.24074039849631,-3.19023248152673,1.07978951366943,0.608400303980294,2.17013518344032,2.09529481759734,0.525639016634186,176.305199031131,176.581304515015,176.305199031131,176.581304515015,176.305199031131
1.3013013013013,-3.16423763180725,-0.889831316293724,-6.32391901455078,-4.24586399533961,-3.17223992170079,1.07718527237977,0.610108697012714,2.15956951653923,2.09809646993332,0.532875348221042,176.319937186753,176.548464966266,176.319937186753,176.548464966266,176.319937186753
1.4014014014014,-3.17049282073635,-0.900564180875295,-6.34376738860732,-4.24721503550883,-3.1521290278364,1.0803220620641,0.626397905736526,2.17365236554025,2.09792204508037,0.527939479932636,176.322886598198,176.513136723624,176.322886598198,176.513136723624,176.322886598198
1.5015015015015,-3.04874737868757,-0.905011802888126,-6.19558516777153,-4.25546441555252,-3.1917131370176,1.2731390696217,0.62606011009487,2.46453481295076,2.08427482459441,0.482182297937939,176.325836002002,176.474837167968,176.325836002002,176.474837167968,176.325836002002
1.6016016016016,-3.03063318506284,-0.924881057276476,-6.19910042381087,-4.26503232004476,-3.20525199544238,1.30938079652083,0.627308827904051,2.5019356484939,2.07528018436294,0.486589063359783,176.329691343377,176.441401949817,176.329691343377,176.441401949817,176.329691343377
1.7017017017017,-2.98744837835694,-0.931623976148421,-6.19502618688351,-4.26558498425119,-3.21676993066245,1.36071609497188,0.624395810812048,2.53985671717344,2.07344475208198,0.476429170266581,176.333935479513,176.407966664364,176.333935479513,176.407966664364,176.333935479513
1.8018018018018,-2.93355173217822,-0.958763081463083,-6.18009074142258,-4.28679607843488,-3.23019854176939,1.42698203501541,0.632929117090237,2.58047035091972,2.0691977371092,0.465842516968111,176.324844733333,176.374531433634,176.324844733333,176.374531433634,176.324844733333
1.9019019019019,-2.92647863197262,-0.969519261341519,-6.20006401642662,-4.28870598207825,-3.25432630566589,1.41925357115541,0.623832213233512,2.59312801607956,2.0737172827867,0.443065964612385,176.312338326593,176.341096193961,176.312338326593,176.341096193961,176.312338326593
