GaitPhase,pMMGMean_1,pMMGMean_2,pMMGMean_3,pMMGMean_4,pMMGMean_5,MomentMean,NewCol1,NewCol2,NewCol3,NewCol4,NewCol5
0,0.464428774,0.813179321,0.253070465,0.529914188,0.260332614,-469.6414211,-0.118008763070081,-0.41115336598819,-0.413267589820702,-0.68396226093672,-0.822691865650599
0.1001001,0.470462247,0.814508415,0.258970886,0.530901571,0.264469369,-464.4731455,-0.139067088622635,-0.418162441324603,-0.431687251088431,-0.689219260704696,-0.819871629447653
0.2002002,0.480349482,0.810809897,0.26320862,0.534213982,0.269582321,-459.3048699,-0.16012541417519,-0.425171516661015,-0.45010691235616,-0.694476260472672,-0.817051393244706
0.3003003,0.488069204,0.810829392,0.268037439,0.54406791,0.271941239,-454.0761819,-0.181183739727746,-0.432180591997428,-0.468526573623889,-0.699733260240648,-0.81423115704176
0.4004004,0.492275978,0.805870178,0.272515372,0.549067994,0.274734915,-448.4836147,-0.2022420652803,-0.43918966733384,-0.486946234891618,-0.704990260008624,-0.811410920838814
0.500500501,0.496540534,0.804557542,0.278890042,0.550952001,0.28006424,-442.9578693,-0.223300391043228,-0.446198742740274,-0.505365896343359,-0.710247259829118,-0.808590684607694
0.600600601,0.504593408,0.803221485,0.287053747,0.551796699,0.286620845,-437.5024241,-0.244358716595783,-0.453207818076686,-0.523785557611088,-0.715504259597094,-0.805770448404748
0.700700701,0.512207846,0.796759365,0.290719088,0.557385087,0.290428788,-432.1937463,-0.265417042148338,-0.460216893413099,-0.542205218878817,-0.72076125936507,-0.802950212201802
0.800800801,0.51685123,0.788442865,0.294752907,0.565206718,0.292628971,-426.8872326,-0.286475367700893,-0.467225968749512,-0.560624880146545,-0.726018259133046,-0.800129975998856
0.900900901,0.518172023,0.786428941,0.298962607,0.571185316,0.297220303,-422.1182069,-0.307533693253448,-0.474110270606406,-0.579044541414274,-0.731275258901023,-0.79730973979591
1.001001001,0.519603231,0.78482217,0.304569567,0.570514598,0.30271375,-417.3883449,-0.321347343382824,-0.479367270776117,-0.597464202682003,-0.736532258668999,-0.794489503592964
