GaitPhase,pMMGMean_1,pMMGMean_2,pMMGMean_3,pMMGMean_4,pMMGMean_5,MomentMean,NewCol1,NewCol2,NewCol3,NewCol4,NewCol5
0,0.990423781,0.577211795,0.99536251,0.714943397,0.169670915,-469.6414211,-0.118008763070081,-0.41115336598819,-0.413267589820702,-0.68396226093672,-0.822691865650599
0.1001001,0.989194264,0.564872507,0.996634835,0.711601157,0.174023697,-464.4731455,-0.139067088622635,-0.418162441324603,-0.431687251088431,-0.689219260704696,-0.819871629447653
0.2002002,0.989477047,0.565618424,0.997135717,0.704972135,0.177634792,-459.3048699,-0.16012541417519,-0.425171516661015,-0.45010691235616,-0.694476260472672,-0.817051393244706
0.3003003,0.990751931,0.566976276,0.998968676,0.706419819,0.18292399,-454.0761819,-0.181183739727746,-0.432180591997428,-0.468526573623889,-0.699733260240648,-0.81423115704176
0.4004004,0.990081197,0.566526821,0.999209123,0.704043878,0.192659267,-448.4836147,-0.2022420652803,-0.43918966733384,-0.486946234891618,-0.704990260008624,-0.811410920838814
0.500500501,0.989735008,0.554704414,0.998964879,0.703791123,0.19181484,-442.9578693,-0.223300391043228,-0.446198742740274,-0.505365896343359,-0.710247259829118,-0.808590684607694
0.600600601,0.989664876,0.554666493,0.99814931,0.707056486,0.196709954,-437.5024241,-0.244358716595783,-0.453207818076686,-0.523785557611088,-0.715504259597094,-0.805770448404748
0.700700701,0.991048699,0.556302215,0.997975359,0.710604753,0.202724415,-432.1937463,-0.265417042148338,-0.460216893413099,-0.542205218878817,-0.72076125936507,-0.802950212201802
0.800800801,0.989207072,0.556152681,0.996629834,0.70670227,0.213802051,-426.8872326,-0.286475367700893,-0.467225968749512,-0.560624880146545,-0.726018259133046,-0.800129975998856
0.900900901,0.985755718,0.549033774,0.99529316,0.707743737,0.212175533,-422.1182069,-0.307533693253448,-0.474110270606406,-0.579044541414274,-0.731275258901023,-0.79730973979591
1.001001001,0.985958679,0.545666803,0.996767028,0.706421617,0.218396116,-417.3883449,-0.321347343382824,-0.479367270776117,-0.597464202682003,-0.736532258668999,-0.794489503592964
1.101101101,0.9882756,0.549978062,0.999307789,0.714056227,0.224072821,-412.6584829,-0.326598046783538,-0.483686972710698,-0.615883863949732,-0.741789258436975,-0.791669267390018
1.201201201,0.989300613,0.550139769,1,0.714556783,0.231396009,-408.4784367,-0.331848750184253,-0.48789316137605,-0.634303525217461,-0.747554191525569,-0.788849031187072
1.301301301,0.984787041,0.54747799,0.99857518,0.709488433,0.231367682,-405.9745236,-0.337099453584967,-0.492099350041402,-0.65272318648519,-0.755965578688944,-0.786028794984126
1.401401401,0.982178813,0.544480573,0.996151427,0.710460701,0.240045383,-403.4706104,-0.359823618013299,-0.502258294250776,-0.661463140959861,-0.764376965852319,-0.78320855878118
1.501501502,0.983023424,0.5497116,0.996370785,0.717590919,0.248884273,-400.8445451,-0.352382547528324,-0.512774236629658,-0.669874528207266,-0.770987147251127,-0.780388322550059
1.601601602,0.984449125,0.555596612,0.997151893,0.718346721,0.254948444,-398.5783799,-0.367843326054203,-0.523290178903487,-0.678328938649135,-0.770993345433166,-0.777568086347113
1.701701702,0.983132801,0.556189228,0.997689466,0.721609008,0.265304076,-395.9206103,-0.37876736176869,-0.535957439254495,-0.688844881548175,-0.770999543615205,-0.774747850144167
1.801801802,0.978107866,0.55328216,0.996063606,0.720436165,0.272835338,-393.2478558,-0.38928330410504,-0.548095525083704,-0.694932177077957,-0.771797346898991,-0.771927613941221
1.901901902,0.976608189,0.554238004,0.994841318,0.723120324,0.28625718,-390.5746631,-0.399616532924373,-0.548101723717634,-0.70068685156928,-0.774803007600381,-0.767983556617211
2.002002002,0.976280551,0.568971287,0.995467833,0.723695589,0.28716688,-386.909064,-0.403822721575474,-0.548107922091273,-0.706694630065688,-0.777808668301772,-0.763495532620228
2.102102102,0.975726104,0.588254568,0.995993603,0.724181652,0.300010831,-381.8256514,-0.408028910226575,-0.548114120160339,-0.712702408562096,-0.780814329003162,-0.759007508623245
2.202202202,0.974270645,0.595800855,0.994180434,0.734851962,0.307830078,-376.7422389,-0.411346235378635,-0.555378080989459,-0.718710187058504,-0.783414435956943,-0.754519484626261
2.302302302,0.968015431,0.604012257,0.993596021,0.742338009,0.321075059,-371.5687585,-0.404497310293828,-0.565894022950682,-0.724315549507958,-0.782380865656397,-0.752876732673131
2.402402402,0.967964392,0.61324862,0.994605591,0.744917227,0.322418988,-363.6576044,-0.397648385209021,-0.572248541426975,-0.729572549298201,-0.780479696122163,-0.75365222014097
2.502502503,0.968669751,0.615347383,0.995444699,0.744649281,0.334826893,-354.3052319,-0.403735156296729,-0.578256319983401,-0.735016147008717,-0.778578526568936,-0.754427707616556
2.602602603,0.964268261,0.629573723,0.991210164,0.751731604,0.339409946,-345.0241831,-0.416293231605726,-0.584264098479809,-0.741324283347751,-0.776677357034701,-0.755203195084394
2.702702703,0.963130911,0.636129342,0.99159207,0.770658013,0.351386928,-335.7980204,-0.421983711604982,-0.590271876976217,-0.747632419686785,-0.774776187500467,-0.742882489710057
2.802802803,0.957792397,0.653702547,0.990033168,0.793487535,0.356445632,-324.0921791,-0.415550584116916,-0.597693110292614,-0.752491871832825,-0.772875017966233,-0.740107971279348
2.902902903,0.958882247,0.665441636,0.991830128,0.800127915,0.365932489,-311.5780738,-0.409740284964553,-0.597699308474632,-0.752498070014864,-0.771181053102572,-0.737620295882865
