GaitPhase,pMMGMean_1,pMMGMean_2,pMMGMean_3,pMMGMean_4,pMMGMean_5,MomentMean,NewCol1,NewCol2,NewCol3,NewCol4,NewCol5
0,0.189925058,0.688249648,0.185512683,0.448690598,0.132644306,-469.6414211,-0.118008763070081,-0.41115336598819,-0.413267589820702,-0.68396226093672,-0.822691865650599
0.1001001,0.193816807,0.709377861,0.192183906,0.456125388,0.135318376,-464.4731455,-0.139067088622635,-0.418162441324603,-0.431687251088431,-0.689219260704696,-0.819871629447653
0.2002002,0.193628297,0.728726399,0.19307907,0.460664736,0.135701522,-459.3048699,-0.16012541417519,-0.425171516661015,-0.45010691235616,-0.694476260472672,-0.817051393244706
0.3003003,0.200620823,0.750209084,0.201011958,0.468433616,0.138876842,-454.0761819,-0.181183739727746,-0.432180591997428,-0.468526573623889,-0.699733260240648,-0.81423115704176
0.4004004,0.20617788,0.76176678,0.206382702,0.474130005,0.141129014,-448.4836147,-0.2022420652803,-0.43918966733384,-0.486946234891618,-0.704990260008624,-0.811410920838814
0.500500501,0.213123356,0.761438495,0.213271752,0.478464995,0.143498005,-442.9578693,-0.223300391043228,-0.446198742740274,-0.505365896343359,-0.710247259829118,-0.808590684607694
0.600600601,0.219587227,0.77874443,0.222472126,0.48413985,0.146431006,-437.5024241,-0.244358716595783,-0.453207818076686,-0.523785557611088,-0.715504259597094,-0.805770448404748
0.700700701,0.222242927,0.797340468,0.227051223,0.489372925,0.148464103,-432.1937463,-0.265417042148338,-0.460216893413099,-0.542205218878817,-0.72076125936507,-0.802950212201802
0.800800801,0.230846486,0.805690222,0.236355553,0.493828131,0.151407636,-426.8872326,-0.286475367700893,-0.467225968749512,-0.560624880146545,-0.726018259133046,-0.800129975998856
0.900900901,0.237413103,0.816283974,0.24122531,0.499097351,0.153158823,-422.1182069,-0.307533693253448,-0.474110270606406,-0.579044541414274,-0.731275258901023,-0.79730973979591
1.001001001,0.245806163,0.816980718,0.248368267,0.501707562,0.155918511,-417.3883449,-0.321347343382824,-0.479367270776117,-0.597464202682003,-0.736532258668999,-0.794489503592964
1.101101101,0.254732971,0.829866165,0.259161727,0.509059748,0.159357908,-412.6584829,-0.326598046783538,-0.483686972710698,-0.615883863949732,-0.741789258436975,-0.791669267390018
1.201201201,0.261504651,0.844029051,0.266218956,0.513937499,0.160980459,-408.4784367,-0.331848750184253,-0.48789316137605,-0.634303525217461,-0.747554191525569,-0.788849031187072
1.301301301,0.271334086,0.857294914,0.277478905,0.519896246,0.164168648,-405.9745236,-0.337099453584967,-0.492099350041402,-0.65272318648519,-0.755965578688944,-0.786028794984126
1.401401401,0.277451449,0.87512113,0.283828786,0.527318591,0.165938877,-403.4706104,-0.359823618013299,-0.502258294250776,-0.661463140959861,-0.764376965852319,-0.78320855878118
1.501501502,0.287205143,0.86906074,0.291517844,0.527233388,0.168180792,-400.8445451,-0.352382547528324,-0.512774236629658,-0.669874528207266,-0.770987147251127,-0.780388322550059
1.601601602,0.296930266,0.864854966,0.303092687,0.530488398,0.171029439,-398.5783799,-0.367843326054203,-0.523290178903487,-0.678328938649135,-0.770993345433166,-0.777568086347113
1.701701702,0.306638998,0.858704205,0.312054154,0.533369373,0.172682552,-395.9206103,-0.37876736176869,-0.535957439254495,-0.688844881548175,-0.770999543615205,-0.774747850144167
1.801801802,0.321417421,0.862341985,0.32508678,0.536929077,0.17488632,-393.2478558,-0.38928330410504,-0.548095525083704,-0.694932177077957,-0.771797346898991,-0.771927613941221
1.901901902,0.327983751,0.874246123,0.331978766,0.542543806,0.177289207,-390.5746631,-0.399616532924373,-0.548101723717634,-0.70068685156928,-0.774803007600381,-0.767983556617211
2.002002002,0.338956209,0.872580117,0.341917829,0.542935079,0.180026777,-386.909064,-0.403822721575474,-0.548107922091273,-0.706694630065688,-0.777808668301772,-0.763495532620228
2.102102102,0.34783855,0.85913078,0.351394687,0.541814782,0.1826635,-381.8256514,-0.408028910226575,-0.548114120160339,-0.712702408562096,-0.780814329003162,-0.759007508623245
2.202202202,0.358483344,0.846278503,0.36271004,0.541021909,0.185036961,-376.7422389,-0.411346235378635,-0.555378080989459,-0.718710187058504,-0.783414435956943,-0.754519484626261
2.302302302,0.37543081,0.839489958,0.377954974,0.543530752,0.187106073,-371.5687585,-0.404497310293828,-0.565894022950682,-0.724315549507958,-0.782380865656397,-0.752876732673131
2.402402402,0.381873925,0.839881349,0.38495118,0.548263686,0.189614548,-363.6576044,-0.397648385209021,-0.572248541426975,-0.729572549298201,-0.780479696122163,-0.75365222014097
2.502502503,0.391304844,0.834053645,0.395618462,0.549267244,0.19212192,-354.3052319,-0.403735156296729,-0.578256319983401,-0.735016147008717,-0.778578526568936,-0.754427707616556
2.602602603,0.398902483,0.818005279,0.407153004,0.546368003,0.195152148,-345.0241831,-0.416293231605726,-0.584264098479809,-0.741324283347751,-0.776677357034701,-0.755203195084394
2.702702703,0.405935184,0.799764888,0.41404686,0.54244012,0.196804504,-335.7980204,-0.421983711604982,-0.590271876976217,-0.747632419686785,-0.774776187500467,-0.742882489710057
2.802802803,0.422805003,0.787260505,0.428528145,0.541795394,0.198336592,-324.0921791,-0.415550584116916,-0.597693110292614,-0.752491871832825,-0.772875017966233,-0.740107971279348
2.902902903,0.430116579,0.774195874,0.436554817,0.544056833,0.200763379,-311.5780738,-0.409740284964553,-0.597699308474632,-0.752498070014864,-0.771181053102572,-0.737620295882865
3.003003003,0.439660062,0.756049757,0.445177556,0.543995042,0.203596589,-299.0322046,-0.407124129387995,-0.59770550665665,-0.752504268196903,-0.773146717459346,-0.716311571719741
3.103103103,0.444773326,0.740000625,0.450354575,0.538071149,0.205726271,-286.4194171,-0.404507973811437,-0.598160700298824,-0.752510466378942,-0.76685652921884,-0.72658555550654
3.203203203,0.451021591,0.72978863,0.465518945,0.535108043,0.209792637,-273.9743267,-0.401891817841848,-0.599916262286749,-0.752516664560981,-0.760566340978335,-0.722396960874173
3.303303303,0.462177897,0.714681801,0.479334065,0.532156067,0.21210446,-261.9618298,-0.399275661833163,-0.601671824274674,-0.75252286274302,-0.754276152737829,-0.718208366241806
3.403403403,0.464163503,0.695202159,0.481088548,0.529310238,0.214073774,-249.9493329,-0.39837944420148,-0.603427386262599,-0.752529060887878,-0.747985964497323,-0.71029505818895
3.503503504,0.476412528,0.675676446,0.493859841,0.525703089,0.217020155,-238.5491013,-0.398385642329369,-0.603928447882513,-0.752535258957006,-0.723108941881797,-0.689479988871666
3.603603604,0.47977953,0.657684865,0.499339588,0.520823049,0.219380388,-228.1872935,-0.410489443116968,-0.603934646139879,-0.75254145718392,-0.719848425119705,-0.631277393492058
3.703703704,0.476225724,0.650282146,0.503175805,0.517293856,0.224611218,-217.6249337,-0.419893528664677,-0.603940844397245,-0.752547655535418,-0.723731215847488,-0.649674792420377
3.803803804,0.474884699,0.638324896,0.504172069,0.514455011,0.22900196,-207.0319884,-0.393460368264634,-0.603947042654611,-0.752553853886916,-0.719542621553851,-0.671738008640135
3.903903904,0.473336044,0.62015207,0.50281972,0.510763991,0.232284341,-197.2440065,-0.399930246885298,-0.603953240911977,-0.752565047701162,-0.715227536979084,-0.628717656999929
4.004004004,0.475519783,0.604081947,0.507065145,0.507010519,0.236159181,-189.7344607,-0.406400125505962,-0.603959439035406,-0.752842290028479,-0.701271253230156,-0.607801678875952
4.104104104,0.473171267,0.586435978,0.506389799,0.503202921,0.239538339,-182.67736,-0.406694977501929,-0.60396563696323,-0.742497144624582,-0.687314969481229,-0.585716218402523
4.204204204,0.468587156,0.584387229,0.509232321,0.50055141,0.243801093,-175.6202592,-0.418607500080315,-0.603971834902781,-0.726799593952464,-0.673358685732302,-0.559589860877001
4.304304304,0.462469497,0.577335975,0.508155329,0.49683119,0.249105384,-168.5445388,-0.428346579858281,-0.60397803308482,-0.711102043280347,-0.668624429361754,-0.533463502752489
4.404404404,0.461063364,0.564216692,0.505361107,0.492020272,0.250968109,-165.5805347,-0.42311009825123,-0.603984231266859,-0.700011659607462,-0.674492577979131,-0.516253912782832
4.504504505,0.458107222,0.550209318,0.508333917,0.486576101,0.254508511,-163.4053447,-0.417873616591866,-0.603655700617369,-0.689540601011606,-0.633374894679985,-0.500556361953896
4.604604605,0.453041676,0.535492704,0.503707521,0.482001408,0.25742989,-160.9550932,-0.412637134984815,-0.6001658774505,-0.679069542520356,-0.617677344496846,-0.479756750696363
4.704704705,0.446483373,0.529277385,0.498919395,0.479840323,0.260103347,-159.8402556,-0.379640806022458,-0.59497601654732,-0.666844658040795,-0.592412196998955,-0.480591626373329
4.804804805,0.43890779,0.521590426,0.492807597,0.476907195,0.264394697,-162.1014792,-0.365041201719903,-0.586248918109698,-0.651147107302392,-0.570103486729633,-0.533493558372893
4.904904905,0.435321018,0.511815686,0.491033535,0.472588952,0.266623661,-164.1548928,-0.35980472010576,-0.577521819672076,-0.635449556563988,-0.549187509391553,-0.421400247834013
5.005005005,0.428191407,0.505560549,0.49433632,0.468944253,0.271098942,-166.2338467,-0.354568238498709,-0.568794721234453,-0.619752005544232,-0.508372411004575,-0.403962325993914
5.105105105,0.4214081,0.496860831,0.487111694,0.463759649,0.274105345,-171.755999,-0.349331756891657,-0.564831584075676,-0.603232685852417,-0.483276857791427,-0.387838238288926
5.205205205,0.416130946,0.491571454,0.483342101,0.46140025,0.275131735,-179.0890569,-0.344095275284606,-0.562215427964605,-0.58649080518252,-0.457028945492057,-0.357261300261772
5.305305305,0.401999505,0.488315763,0.468596346,0.460480504,0.281060058,-186.7266478,-0.359383658336426,-0.556313091840579,-0.569748924512623,-0.449174163722129,-0.346112165081681
5.405405405,0.396413017,0.481316817,0.464214844,0.45746922,0.283549701,-194.4458783,-0.337521849605041,-0.545842033772348,-0.543417937463562,-0.414251489932842,-0.372708448810431
5.505505506,0.385853272,0.478026888,0.46088689,0.456035059,0.288007534,-202.4416663,-0.32827746365752,-0.535370975574091,-0.522691840628851,-0.324845098279676,-0.250852136749813
5.605605606,0.378269805,0.470694713,0.451915059,0.450854046,0.291465423,-210.4147263,-0.3329506394768,-0.52489991703859,-0.510895600566356,-0.300454641306717,-0.229936158625836
5.705705706,0.375017323,0.465986773,0.449005973,0.448874929,0.291725724,-218.3476898,-0.33762381529608,-0.51442885850309,-0.511118476266213,-0.27692141591494,-0.191791214664518
5.805805806,0.359693391,0.464805638,0.43019846,0.449927877,0.298337538,-226.8348096,-0.342296991115359,-0.506366630517154,-0.503957800192855,-0.256333761451123,-0.151562127942513
5.905905906,0.352112432,0.457010261,0.424438703,0.449098567,0.301160621,-233.7111113,-0.346970166934639,-0.499384390843695,-0.493486741983618,-0.240636210422599,-0.141091069451263
6.006006006,0.336632094,0.453956703,0.411785628,0.450116649,0.30702102,-237.6458194,-0.347919481347199,-0.48439811905037,-0.468652354360849,-0.222853503393193,-0.170709160538707
6.106106106,0.325497327,0.443606941,0.400308042,0.445208606,0.310430184,-241.3387608,-0.340438618414726,-0.475110632395974,-0.415952542468471,-0.210639383354651,-0.0935675723304509
6.206206206,0.324265134,0.438949403,0.398020238,0.444025047,0.310494741,-244.6086728,-0.332957755482252,-0.468128392683153,-0.398505904088179,-0.198425263316108,-0.0622388631485829
6.306306306,0.309005181,0.438082809,0.381339717,0.44537049,0.31601027,-244.6260905,-0.325476892549779,-0.459225006223558,-0.381059265707887,-0.186211143277565,-0.0323031639725816
6.406406406,0.301058641,0.434246966,0.375848515,0.446941294,0.31895279,-242.197756,-0.317483845396913,-0.450248715250998,-0.371485817924024,-0.153664648919498,-0.00797978631331785
6.506506507,0.288484591,0.431742337,0.362173644,0.449468772,0.323851796,-239.3965912,-0.307012787558595,-0.441272424188764,-0.365926282120551,-0.133906141043737,0.037910593263106
6.606606607,0.281462871,0.427476042,0.350581634,0.448499025,0.326617746,-234.8771138,-0.303448325025836,-0.432296133216203,-0.347750563003618,-0.000529343487989977,0.128208786156564
6.706706707,0.27826756,0.421883865,0.347708905,0.448183316,0.32695163,-224.2457606,-0.299958501858968,-0.423165211688014,-0.314675218810868,0.00784885559452465,0.119793035205016
6.806806807,0.264803016,0.41936161,0.334835531,0.449090944,0.330624537,-210.5650429,-0.296468678692099,-0.414002038987252,-0.29308110183938,0.0162270546770392,0.0940745509191332
6.906906907,0.256050451,0.417577835,0.328776128,0.452140415,0.333801172,-196.2861093,-0.299239772119082,-0.404838866286491,-0.253886663992869,0.0128177139029417,0.116383667451789
7.007007007,0.24428144,0.417597471,0.316405885,0.456646918,0.337747169,-180.4187343,-0.305241582065329,-0.395675693585729,-0.223651322956872,0.0469445258094001,0.178094792164417
7.107107107,0.236935392,0.416859565,0.305607526,0.458996334,0.34043731,-159.8837303,-0.298957537253533,-0.386031193371583,-0.232634553832852,0.0964529571894185,0.253340780594953
7.207207207,0.234055762,0.414271112,0.302252928,0.461224065,0.341144696,-137.4855036,-0.292673492441736,-0.372074909622655,-0.214832425673567,0.127781666635259,0.298533085454486
7.307307307,0.2239218,0.411707712,0.292372506,0.462549274,0.343582055,-114.9224726,-0.285068122173828,-0.357550035524941,-0.181438385900437,0.242763333181155,0.255231319952271
7.407407407,0.216845744,0.413186043,0.287449089,0.464778603,0.346460281,-90.35302463,-0.275396383323726,-0.341852484430131,-0.155513813965591,0.147814081767882,0.32079780620415
7.507507508,0.20729112,0.417004668,0.277447655,0.470817465,0.350507464,-64.0652046,-0.270908359292754,-0.326154933178502,-0.131123356186105,0.204574295380354,0.289564404822848
7.607607608,0.200343606,0.419752088,0.269522396,0.475969149,0.352529739,-37.40479529,-0.266420335306619,-0.313546185746986,-0.104376531197482,0.270305826489241,0.320893114180698
7.707707708,0.197757181,0.417817332,0.267048835,0.478383337,0.352656997,-10.3821987,-0.261932311320483,-0.298174025563156,-0.0416005308631728,0.31504125975636,0.3914989137977
7.807807808,0.189640152,0.417161572,0.260992396,0.481011783,0.353925072,17.91218177,-0.257442834590119,-0.284217741814229,-0.0648447833267774,0.344289990382903,0.417389750705421
7.907907908,0.18316036,0.419590242,0.256425801,0.48521996,0.355684271,46.21682394,-0.248466543859336,-0.254126727885277,0.00260997893631279,0.373538721009446,0.501027161667379
8.008008008,0.174701989,0.425817363,0.247230283,0.492096275,0.358744496,74.34591833,-0.239490253128554,-0.20110214007793,0.00260378058481464,0.397487962978472,0.494003332069071
8.108108108,0.168955953,0.431573837,0.241262042,0.50039876,0.360576629,102.6863241,-0.230513962397772,-0.203407340741683,0.00308058006067376,0.435020924183437,0.512693023645743
8.208208208,0.167901826,0.431906947,0.239380124,0.503258198,0.360878112,130.8055833,-0.22153767166699,-0.213209354201527,0.0478812178024453,0.489233227114866,0.546790879454067
8.308308308,0.162838039,0.434343837,0.234297535,0.507936072,0.361851926,156.943099,-0.236965270187278,-0.215541275442486,0.119056094467691,0.48376959405119,0.586257608200884
8.408408408,0.155851233,0.437360612,0.230979635,0.51294589,0.363562025,182.1910828,-0.22998303021198,-0.198103353700542,0.116055639641041,0.473253651464756,0.611434949916245
