timestamp_totalpMMG_pMMG_press_pMMG5_press,totalpMMG_pMMG_press_pMMG5_press,totalpMMG_pMMG_press_pMMG6_press,totalpMMG_pMMG_press_pMMG7_press,angle_interp,totalpMMG_pMMG_press_pMMG5_press_adjusted,totalpMMG_pMMG_press_pMMG6_press_adjusted,totalpMMG_pMMG_press_pMMG7_press_adjusted
0,108.686,108.168,109.249,164.68568672954,1.43744723609906,0.91944723609906,2.00044723609905
0.000999999999997669,108.686,108.168,109.249,164.689048215212,1.43757630637582,0.919576306375816,2.00057630637581
0.00199999999999889,108.686,108.168,109.249,164.692409700885,1.43770537665262,0.919705376652615,2.0007053766526
0.00300000000000011,108.705,108.164,109.209,164.695771186558,1.45683444692941,0.915834446929409,1.96083444692941
0.00399999999999778,108.705,108.164,109.209,164.699132672231,1.4569635172062,0.915963517206208,1.96096351720621
0.00499999999999901,108.705,108.164,109.209,164.702494157903,1.45709258748296,0.916092587482964,1.96109258748297
0.00599999999999667,108.705,108.168,109.249,164.705855643576,1.45722165775976,0.920221657759768,2.00122165775976
0.0069999999999979,108.705,108.168,109.249,164.709217129249,1.45735072803656,0.920350728036567,2.00135072803656
0.00799999999999912,108.705,108.168,109.249,164.712578614922,1.45747979831336,0.920479798313366,2.00147979831335
0.00899999999999679,108.705,108.168,109.249,164.715940100594,1.45760886859011,0.920608868590122,2.00160886859011
0.00999999999999801,108.705,108.168,109.249,164.719301586267,1.45773793886691,0.920737938866921,2.00173793886691
0.0109999999999992,108.705,108.168,109.249,164.72266307194,1.45786700914371,0.92086700914372,2.00186700914371
0.0119999999999969,108.705,108.168,109.249,164.726024557613,1.45799607942051,0.920996079420519,2.00199607942051
0.0129999999999981,108.686,108.168,109.229,164.729386043285,1.43912514969728,0.921125149697275,1.98212514969727
0.0139999999999993,108.686,108.168,109.229,164.732747528958,1.43925421997407,0.921254219974074,1.98225421997407
0.014999999999997,108.686,108.168,109.229,164.736109014631,1.43938329025087,0.921383290250873,1.98238329025087
0.0159999999999982,108.686,108.168,109.229,164.739470500304,1.43951236052767,0.921512360527672,1.98251236052766
0.0169999999999995,108.686,108.168,109.229,164.742831985976,1.43964143080443,0.921641430804428,1.98264143080442
0.0179999999999971,108.686,108.168,109.229,164.746193471649,1.43977050108123,0.921770501081227,1.98277050108122
0.0189999999999984,108.686,108.168,109.229,164.749554957322,1.43989957135803,0.921899571358026,1.98289957135802
0.0199999999999996,108.686,108.164,109.249,164.752916442995,1.44002864163483,0.91802864163482,2.00302864163481
0.0209999999999972,108.686,108.164,109.249,164.756277928668,1.44015771191162,0.918157711911618,2.00315771191161
0.0219999999999985,108.686,108.164,109.249,164.75963941434,1.44028678218838,0.918286782188375,2.00328678218837
0.0229999999999997,108.686,108.164,109.249,164.763000900013,1.44041585246518,0.918415852465174,2.00341585246517
0.0239999999999974,108.686,108.164,109.249,164.766362385686,1.44054492274198,0.918544922741972,2.00354492274197
0.0249999999999986,108.686,108.164,109.249,164.769723871359,1.44067399301878,0.918673993018771,2.00367399301877
0.0259999999999998,108.686,108.164,109.249,164.773085357031,1.44080306329553,0.918803063295528,2.00380306329552
0.0269999999999975,108.686,108.164,109.249,164.776446842704,1.44093213357233,0.918932133572326,2.00393213357232
0.0279999999999987,108.686,108.164,109.249,164.778401083441,1.4410071701536,0.919007170153591,2.00400717015359
0.0289999999999999,108.686,108.164,109.249,164.780355324177,1.44108220673482,0.919082206734814,2.00408220673481
0.0299999999999976,108.682,108.164,109.249,164.782309564914,1.43715724331608,0.919157243316079,2.00415724331606
0.0309999999999988,108.682,108.164,109.249,164.784263805651,1.43723227989733,0.919232279897329,2.00423227989732
0.032,108.682,108.164,109.249,164.786218046387,1.43730731647855,0.919307316478552,2.00430731647855
0.0329999999999977,108.682,108.164,109.249,164.788172287124,1.43738235305982,0.919382353059817,2.00438235305981
0.0339999999999989,108.682,108.164,109.249,164.790126527861,1.43745738964107,0.919457389641067,2.00445738964106
0.0349999999999966,108.682,108.164,109.249,164.792080768597,1.43753242622229,0.91953242622229,2.00453242622228
0.0359999999999978,108.682,108.164,109.249,164.794035009334,1.43760746280356,0.919607462803555,2.00460746280355
0.036999999999999,108.682,108.164,109.249,164.795989250071,1.43768249938481,0.919682499384805,2.0046824993848
0.0379999999999967,108.686,108.164,109.249,164.797943490807,1.44175753596603,0.919757535966028,2.00475753596602
0.0389999999999979,108.686,108.164,109.249,164.799897731544,1.4418325725473,0.919832572547293,2.00483257254729
0.0399999999999991,108.686,108.164,109.249,164.80185197228,1.44190760912852,0.919907609128515,2.00490760912851
0.0409999999999968,108.686,108.164,109.249,164.803806213017,1.44198264570977,0.91998264570978,2.00498264570976
0.041999999999998,108.686,108.164,109.249,164.805760453754,1.44205768229104,0.920057682291031,2.00505768229102
0.0429999999999993,108.705,108.164,109.229,164.80771469449,1.46113271887225,0.920132718872253,1.98513271887225
0.0439999999999969,108.705,108.164,109.229,164.809668935227,1.46120775545351,0.920207755453518,1.98520775545352
0.0449999999999982,108.705,108.164,109.229,164.811623175964,1.46128279203477,0.920282792034769,1.98528279203477
0.0459999999999994,108.705,108.164,109.229,164.8135774167,1.46135782861599,0.920357828615991,1.98535782861599
0.046999999999997,108.705,108.164,109.229,164.815531657437,1.46143286519725,0.920432865197256,1.98543286519725
0.0479999999999983,108.705,108.164,109.229,164.817485898174,1.4615079017785,0.920507901778507,1.9855079017785
0.0489999999999995,108.705,108.164,109.229,164.81944013891,1.46158293835973,0.920582938359729,1.98558293835973
