timestamp,angle_interp,pMMG
0,171.2807708,1.725677326
0.001,171.2809131,1.725682794
0.002,171.2810555,1.725688261
0.003,171.2811979,1.725693728
0.004,171.2813403,1.725699195
0.005,171.2814827,1.745704662
0.006,171.281625,1.745710129
0.007,171.2817674,1.745715596
0.008,171.2819098,1.745721063
0.009,171.2820522,1.74572653
0.01,171.2821946,1.745731997
0.011,171.2824518,1.745741872
0.012,171.2827089,1.745751747
0.013,171.2829661,1.745761622
0.014,171.2832233,1.741771497
0.015,171.2834805,1.741781372
0.016,171.2837377,1.741791247
0.017,171.2839949,1.741801122
0.018,171.2842521,1.784810997
0.019,171.2845092,1.784820873
0.02,171.2847664,1.784830748
0.021,171.2850236,1.784840623
0.022,171.2852808,1.784850498
0.023,171.285538,1.784860373
0.024,171.2857952,1.784870248
0.025,171.2860524,1.745880123
0.026,171.2863095,1.745889998
0.027,171.2865667,1.764899873
0.028,171.2868239,1.764909749
0.029,171.2870811,1.764919624
0.03,171.2873383,1.764929499
0.031,171.2875955,1.764939374
0.032,171.2878527,1.764949249
0.033,171.2881098,1.764959124
0.034,171.288367,1.764968999
0.035,171.2886242,1.764978874
0.036,171.2888814,1.764988749
0.037,171.2891386,1.764998624
0.038,171.2893958,1.7650085
0.039,171.289653,1.769018375
0.04,171.2899101,1.76902825
0.041,171.2901673,1.769038125
0.042,171.2904245,1.765048
0.043,171.2906817,1.765057875
0.044,171.2892121,1.765001448
0.045,171.2877425,1.76494502
0.046,171.2862729,1.764888592
0.047,171.2848033,1.745832165
0.048,171.2833338,1.745775737
0.049,171.2818642,1.74571931
0.05,171.2803946,1.745662882
0.051,171.278925,1.745606455
0.052,171.2774554,1.745550027
0.053,171.2759858,1.7454936
0.054,171.2745162,1.745437172
0.055,171.2730466,1.745380745
0.056,171.271577,1.745324317
0.057,171.2701074,1.74526789
0.058,171.2686379,1.745211462
0.059,171.2671683,1.764155035
0.06,171.2656987,1.764098607
0.061,171.2642291,1.76404218
0.062,171.2627595,1.763985752
0.063,171.2612899,1.744929325
0.064,171.2598203,1.744872897
0.065,171.2583507,1.744816469
0.066,171.2568811,1.744760042
0.067,171.2554116,1.744703614
0.068,171.253942,1.744647187
0.069,171.2524724,1.744590759
0.07,171.2510028,1.744534332
0.071,171.2495332,1.744477904
0.072,171.2480636,1.744421477
0.073,171.246594,1.744365049
0.074,171.2451244,1.744308622
0.075,171.2436548,1.744252194
0.076,171.2421852,1.744195767
0.077,171.2424168,1.744204658
0.078,171.2426484,1.74421355
0.079,171.24288,1.740222441
0.08,171.2431115,1.740231333
0.081,171.2433431,1.740240225
0.082,171.2435747,1.740249116
0.083,171.2438062,1.740258008
0.084,171.2440378,1.744266899
0.085,171.2442694,1.744275791
0.086,171.244501,1.744284683
0.087,171.2447325,1.744293574
0.088,171.2449641,1.744302466
0.089,171.2451957,1.740311357
0.09,171.2454272,1.740320249
0.091,171.2456588,1.740329141
0.092,171.2458904,1.740338032
0.093,171.246122,1.744346924
0.094,171.2463535,1.744355815
0.095,171.2465851,1.744364707
0.096,171.2468167,1.744373599
0.097,171.2470482,1.74438249
0.098,171.2472798,1.744391382
0.099,171.2475114,1.744400273
0.1,171.247743,1.744409165
0.101,171.2479745,1.744418057
0.102,171.2482061,1.744426948
0.103,171.2484377,1.72443584
0.104,171.2486692,1.724444731
0.105,171.2489008,1.724453623
0.106,171.2491324,1.724462515
0.107,171.249364,1.724471406
0.108,171.2495955,1.724480298
0.109,171.2498271,1.759489189
0.11,171.2500587,1.744498081
0.111,171.2486929,1.744445638
0.112,171.247327,1.763393195
0.113,171.2459612,1.763340752
0.114,171.2445954,1.763288309
0.115,171.2432296,1.763235866
0.116,171.2418638,1.763183423
0.117,171.240498,1.76313098
0.118,171.2391321,1.763078537
0.119,171.2377663,1.763026094
0.12,171.2364005,1.762973651
0.121,171.2350347,1.762921208
0.122,171.2336689,1.762868765
0.123,171.2323031,1.762816322
0.124,171.2309372,1.762763879
0.125,171.2295714,1.762711436
0.126,171.2282056,1.762658994
0.127,171.2268398,1.762606551
0.128,171.225474,1.762554108
0.129,171.2241082,1.762501665
0.13,171.2227423,1.762449222
0.131,171.2213765,1.762396779
0.132,171.2200107,1.762344336
0.133,171.2186449,1.762291893
0.134,171.2172791,1.76223945
0.135,171.2159133,1.762187007
0.136,171.2145475,1.762134564
0.137,171.2131816,1.762082121
0.138,171.2118158,1.762029678
0.139,171.21045,1.761977235
0.14,171.2090842,1.742924792
0.141,171.2077184,1.742872349
0.142,171.2063526,1.742819906
0.143,171.2049867,1.742767463
0.144,171.2027726,1.742682448
0.145,171.2005585,1.742597432
0.146,171.1983443,1.742512416
0.147,171.1961302,1.742427401
0.148,171.1939161,1.742342385
0.149,171.191702,1.74225737
0.15,171.1894878,1.761172354
0.151,171.1872737,1.761087339
0.152,171.1850596,1.761002323
0.153,171.1828454,1.760917308
0.154,171.1806313,1.760832292
0.155,171.1784172,1.760747277
0.156,171.176203,1.760662261
0.157,171.1739889,1.760577246
0.158,171.1717748,1.78049223
0.159,171.1695606,1.780407215
0.16,171.1673465,1.780322199
0.161,171.1651324,1.780237184
0.162,171.1629183,1.780152168
0.163,171.1607041,1.780067152
0.164,171.15849,1.779982137
0.165,171.1562759,1.779897121
0.166,171.1540617,1.755812106
0.167,171.1518476,1.75572709
0.168,171.1496335,1.755642075
0.169,171.1474193,1.755557059
0.17,171.1452052,1.755472044
0.171,171.1429911,1.755387028
0.172,171.1407769,1.759302013
0.173,171.1385628,1.759216997
0.174,171.1363487,1.759131982
0.175,171.1341346,1.759046966
0.176,171.1319204,1.758961951
0.177,171.130998,1.758926532
0.178,171.1300755,1.758891114
0.179,171.1291531,1.758855695
0.18,171.1282307,1.778820276
0.181,171.1273082,1.778784858
0.182,171.1263858,1.778749439
0.183,171.1254634,1.778714021
0.184,171.1245409,1.778678602
0.185,171.1236185,1.778643184
0.186,171.1226961,1.778607765
0.187,171.1217736,1.778572347
0.188,171.1208512,1.778536928
0.189,171.1199288,1.77850151
0.19,171.1190063,1.778466091
0.191,171.1180839,1.778430672
0.192,171.1171615,1.778395254
0.193,171.116239,1.778359835
0.194,171.1153166,1.778324417
0.195,171.1143942,1.797288998
0.196,171.1134717,1.79725358
0.197,171.1125493,1.797218161
0.198,171.1116269,1.797182743
0.199,171.1107044,1.797147324
0.2,171.109782,1.797111906
0.201,171.1088595,1.797076487
0.202,171.1079371,1.797041068
0.203,171.1070147,1.77800565
0.204,171.1060922,1.777970231
0.205,171.1051698,1.777934813
0.206,171.1042474,1.777899394
0.207,171.1033249,1.773863976
0.208,171.1024025,1.773828557
0.209,171.1014801,1.773793139
0.21,171.1005576,1.79675772
0.211,171.0956091,1.796567713
0.212,171.0906606,1.796377706
0.213,171.0857121,1.796187698
0.214,171.0807636,1.795997691
0.215,171.075815,1.795807684
0.216,171.0708665,1.795617676
0.217,171.065918,1.795427669
0.218,171.0609695,1.795237662
0.219,171.056021,1.814047655
0.22,171.0510724,1.813857647
0.221,171.0461239,1.79466764
0.222,171.0411754,1.813477633
0.223,171.0362269,1.813287626
0.224,171.0312784,1.813097618
0.225,171.0263298,1.812907611
0.226,171.0213813,1.812717604
0.227,171.0164328,1.812527597
0.228,171.0114843,1.812337589
0.229,171.0065358,1.812147582
0.23,171.0015873,1.811957575
0.231,170.9966387,1.811767568
0.232,170.9916902,1.81157756
0.233,170.9867417,1.811387553
0.234,170.9817932,1.831197546
0.235,170.9768447,1.811007538
0.236,170.9718961,1.810817531
0.237,170.9669476,1.810627524
0.238,170.9619991,1.810437517
0.239,170.9570506,1.810247509
0.24,170.9521021,1.810057502
0.241,170.9471535,1.809867495
0.242,170.942205,1.809677488
0.243,170.9372565,1.80948748
0.244,170.9388157,1.809547348
0.245,170.9403749,1.809607216
0.246,170.9419341,1.809667083
0.247,170.9434932,1.809726951
0.248,170.9450524,1.809786818
0.249,170.9466116,1.809846686
0.25,170.9481708,1.809906554
0.251,170.94973,1.829966421
0.252,170.9512892,1.830026289
0.253,170.9528483,1.830086156
0.254,170.9544075,1.830146024
0.255,170.9559667,1.830205892
0.256,170.9575259,1.830265759
0.257,170.9590851,1.830325627
0.258,170.9606442,1.830385494
0.259,170.9622034,1.830445362
0.26,170.9637626,1.83050523
0.261,170.9653218,1.830565097
0.262,170.966881,1.830624965
0.263,170.9684402,1.830684833
0.264,170.9699993,1.8307447
0.265,170.9715585,1.830804568
0.266,170.9731177,1.826864435
0.267,170.9746769,1.826924303
0.268,170.9762361,1.826984171
0.269,170.9777953,1.827044038
0.27,170.9793544,1.827103906
0.271,170.9809136,1.827163773
0.272,170.9824728,1.827223641
0.273,170.984032,1.827283509
0.274,170.9855912,1.827343376
0.275,170.9871503,1.827403244
0.276,170.9887095,1.827463111
0.277,170.9853645,1.827334672
0.278,170.9820194,1.827206232
0.279,170.9786743,1.827077792
0.28,170.9753293,1.826949353
