GaitPhase,pMMGMean_1,pMMGMean_2,pMMGMean_3,pMMGMean_4,pMMGStd_1,pMMGStd_2,pMMGStd_3,pMMGStd_4,ThetaMean_1,ThetaMean_2,ThetaMean_3,ThetaMean_4
59.3593593593594,17.4551616111078,21.6857688052703,14.1118304592693,14.9157168211812,0.3482100698697,1.59507564262894,0.403335298896654,1.01874503023488,66.8323638847114,65.0367138671471,66.8323638847114,65.0367138671471
59.4594594594595,17.44822092,21.6662687405405,14.0756106145045,14.9230264181081,0.312025311091735,1.56748310733875,0.383768974236001,1.00191826244226,66.8350130152252,65.0366191554054,66.8350130152252,65.0366191554054
59.5595595595596,17.4553578086353,21.6662723565766,14.0739933732699,14.9467851431381,0.309750885189584,1.59433257466894,0.384587118029571,0.974212829704805,66.8378505297531,65.0420482178078,66.8378505297531,65.0420482178078
59.6596596596597,17.4490827174808,21.666276755991,14.0564126724324,14.9523696987638,0.289376356637686,1.59431089059184,0.399485708543912,0.987230799153534,66.8422236734868,65.0486501797247,66.8422236734868,65.0486501797247
59.7597597597598,17.4475817123724,21.6567991664264,14.0453354304505,14.971800810991,0.291772860301988,1.58087966324454,0.379584281081192,0.987303845527801,66.8546619964364,65.082310556967,66.8546619964364,65.082310556967
59.8598598598599,17.4430807077744,21.6688242970821,14.043901702686,14.9697840430781,0.279758782988321,1.57098780263336,0.376372067635194,0.98391506676454,66.8671003201435,65.1200403201652,66.8671003201435,65.1200403201652
59.95995995996,17.447457578028,21.6663494227377,14.0403574272172,14.955767271041,0.288968197346822,1.56745989598179,0.375161052568889,0.963555716943058,66.8795386427895,65.1577700744945,66.8795386427895,65.1577700744945
60.0600600600601,17.4430786911812,21.6540712452853,14.0570573948649,14.9236904433784,0.288926895956011,1.57693808615882,0.415476380147853,0.965738854238953,66.8919769642242,65.1954998296396,66.8919769642242,65.1954998296396
60.1601601601602,17.4438182608842,21.6083996775526,14.0896352435969,14.9257337358358,0.289666883244552,1.56747515967796,0.471077982778379,0.973748721287322,66.9044152879313,65.2332295875426,66.9044152879313,65.2332295875426
60.2602602602603,17.4500031817117,21.5984320763113,14.1027712770771,14.9188568611211,0.30873094399634,1.5533220879365,0.461078831189521,0.962931856689482,66.9113353129062,65.2818820314314,66.9113353129062,65.2818820314314
