SquatPhase,pMMGMean_1,pMMGMean_2,pMMGMean_3,pMMGMean_4,pMMGStd_1,pMMGStd_2,pMMGStd_3,pMMGStd_4,ThetaMean_1,ThetaMean_2,ThetaMean_3,ThetaMean_4
0,-5.57142247862333,-7.04671030481676,-3.74767123109176,-5.39532435540693,2.11944617054293,2.25134539871311,1.71463607616235,1.90926633350748,176.672432266667,177.2094107,176.672432266667,177.2094107
0.1001001001001,-5.5790021256479,-7.05485424927954,-3.74855304380963,-5.4161700646748,2.12423657665755,2.28018946626038,1.71202718920686,1.92124897317218,176.650802912346,177.193557864264,176.650802912346,177.193557864264
0.2002002002002,-5.58236597732722,-7.062560642477,-3.75126109195328,-5.43266494219486,2.1224831045866,2.26649975188213,1.72733818055661,1.92129318625517,176.629173495495,177.177705084318,176.629173495495,177.177705084318
0.3003003003003,-5.59566818870309,-7.04480144705527,-3.75788746866647,-5.42585602742662,2.11265942302976,2.2604432541339,1.7295188737897,1.89348792141841,176.607544133333,177.161852305506,176.607544133333,177.161852305506
0.4004004004004,-5.61030182098338,-7.03193803309954,-3.76051258799483,-5.41436294703738,2.12051052018765,2.24234260170789,1.70639623445069,1.85762583022132,176.585914724324,177.145999518585,176.585914724324,177.145999518585
0.500500500500501,-5.62172021427614,-7.01373883053525,-3.77487682371038,-5.38986804622181,2.11068371136033,2.22148023382051,1.69907978756329,1.82466174875239,176.560535934301,177.130146737704,176.560535934301,177.130146737704
0.600600600600601,-5.64210045377616,-6.99551300967197,-3.77837023405892,-5.35304586557502,2.10080195059727,2.19656891015066,1.6905729008691,1.77834518585564,176.529235061161,177.123527065866,176.529235061161,177.123527065866
0.700700700700701,-5.64751906114595,-6.97931828423744,-3.77786426046276,-5.28425519142878,2.07434937010285,2.15466142468403,1.69930291493232,1.69654566414152,176.496413212713,177.120635870237,176.496413212713,177.120635870237
0.800800800800801,-5.65730676050074,-6.97135167093962,-3.77705637426382,-5.25989980328223,2.06160717570265,2.15753494273661,1.67778472202246,1.64728129319144,176.462642069269,177.117744654488,176.462642069269,177.117744654488
0.900900900900901,-5.67104322684596,-6.96788544490325,-3.77984109754873,-5.23392064496891,2.03503395155675,2.15718651321244,1.67710883554665,1.62452767986943,176.432574394595,177.114853447447,176.432574394595,177.114853447447
1.001001001001,-5.67910353668882,-6.98266534842973,-3.78094670871315,-5.24025064681333,2.03779880786071,2.15790123549191,1.69193886664298,1.63175873672583,176.403075966033,177.111962230264,176.403075966033,177.111962230264
1.1011011011011,-5.68555335376364,-7.02775419010592,-3.78155179431243,-5.25460279823335,2.00708507029566,2.17719237450862,1.68950013447234,1.64248782019316,176.374177035969,177.092428571705,176.374177035969,177.092428571705
1.2012012012012,-5.66953579997248,-7.03090805217451,-3.7707972690515,-5.27702525812256,2.00519113689023,2.18506278806287,1.67732888876682,1.66327671083814,176.345278072573,177.070780451952,176.345278072573,177.070780451952
1.3013013013013,-5.69024907404199,-7.05902665737115,-3.77088733773269,-5.29159434186965,2.00294236896719,2.19096334295096,1.67380512333084,1.69008791811115,176.316379142509,177.048797111011,176.316379142509,177.048797111011
1.4014014014014,-5.68546672758801,-7.08552185381617,-3.77340609545631,-5.32179924433822,1.99474666213618,2.21472547986078,1.68918185802577,1.71496383955277,176.299522384551,177.026813801602,176.299522384551,177.026813801602
1.5015015015015,-5.68061152052566,-7.11892318497837,-3.77581886907876,-5.37036670274296,1.98730457847751,2.20436617685377,1.68865934194037,1.74627344678782,176.287993338338,177.004830492192,176.287993338338,177.004830492192
1.6016016016016,-5.67780032003192,-7.13338056260666,-3.79652220667697,-5.40620324867269,1.98123413979856,2.21756443236084,1.66999572149411,1.77928079661474,176.27787755679,176.963649495896,176.27787755679,176.963649495896
1.7017017017017,-5.68319411084595,-7.12984746023982,-3.79592289622387,-5.43257433191956,1.98186341681686,2.22661823032203,1.68401017281147,1.80507859373656,176.267534793827,176.904507480047,176.267534793827,176.904507480047
1.8018018018018,-5.69131739938081,-7.15098139345729,-3.80997526678089,-5.45737317841107,1.9856777379669,2.2057523353425,1.69351587830273,1.81528874439268,176.257192055556,176.841133435736,176.257192055556,176.841133435736
1.9019019019019,-5.68643878888939,-7.13990567390626,-3.81135972220367,-5.47210114433016,1.96061448592096,2.18954804632396,1.67473742454748,1.83383004978542,176.246849271605,176.777759391425,176.246849271605,176.777759391425
2.002002002002,-5.70099366265928,-7.09197999519195,-3.826560222493,-5.46048829360953,1.96950146905809,2.12122134817731,1.68497862777499,1.83727455846634,176.228844287821,176.714385380447,176.228844287821,176.714385380447
2.1021021021021,-5.7179743360108,-7.05473916265203,-3.8350687961882,-5.4441444818818,1.94050259452671,2.08255707681663,1.68441106929394,1.82620281490647,176.208037978879,176.656619471271,176.208037978879,176.656619471271
2.2022022022022,-5.73973189185962,-7.01947964414612,-3.82806261005377,-5.41208951198191,1.9277759783916,2.03672122627976,1.68038733089517,1.79351012576235,176.187231709443,176.60721425996,176.187231709443,176.60721425996
2.3023023023023,-5.75242548960205,-7.00125537719493,-3.84331944163549,-5.38692734453593,1.9187950808199,1.99797437491602,1.69084428544998,1.76338066146818,176.166425432599,176.562833129596,176.166425432599,176.562833129596
2.4024024024024,-5.75265832515992,-6.97802703571923,-3.84954282424323,-5.32406526653029,1.8986661665643,1.96501390934309,1.67699351993436,1.69138857824858,176.147002737638,176.520906568168,176.147002737638,176.520906568168
2.5025025025025,-5.76700905715708,-6.97979624728946,-3.85844977296633,-5.2998680422843,1.89049023697407,1.94457676724943,1.68292175473569,1.67645749100489,176.14361357384,176.478980035068,176.14361357384,176.478980035068
2.6026026026026,-5.77211817568183,-6.99489785534334,-3.86487487416676,-5.28849892768776,1.89876195101062,1.93683219670601,1.68549743202007,1.6605508487172,176.140010008242,176.450333581114,176.140010008242,176.450333581114
2.7027027027027,-5.78278481541669,-7.03157385620486,-3.87905365381607,-5.27367775846336,1.89802368353018,1.95394388234258,1.68099087582051,1.67234413099444,176.130830647748,176.430815224324,176.130830647748,176.430815224324
2.8028028028028,-5.7905907456561,-7.04529558204547,-3.88080278024768,-5.29648220000855,1.90157039261974,1.95686660897784,1.69738568898395,1.70928831404974,176.117865197664,176.417644374341,176.117865197664,176.417644374341
2.9029029029029,-5.79201108100567,-7.07945641596998,-3.9138186600596,-5.32559392234575,1.89988328692782,1.95548952738349,1.67406675036534,1.7702327769863,176.108681782583,176.399801396597,176.108681782583,176.399801396597
3.003003003003,-5.7866543944581,-7.11689523581189,-3.90200653566649,-5.3347788849372,1.909779366382,1.958395347522,1.69718303006214,1.79413784442801,176.107642252352,176.380241414815,176.107642252352,176.380241414815
3.1031031031031,-5.78796248512207,-7.15493133677086,-3.90303367751358,-5.35580761346628,1.90834564243288,1.92983017092917,1.69659016713737,1.84335991526336,176.106602745512,176.371019385619,176.106602745512,176.371019385619
3.2032032032032,-5.7842686880117,-7.20082590180395,-3.92304523003222,-5.37932288097144,1.90304041234415,1.94908275715773,1.69799510238118,1.88009905857227,176.10556321982,176.369754614248,176.10556321982,176.369754614248
3.3033033033033,-5.78579669690863,-7.23537879811644,-3.93103152009,-5.40967348778937,1.91850239034091,1.94617322387062,1.7009946854116,1.90587334782577,176.112755754755,176.368830794194,176.112755754755,176.368830794194
3.4034034034034,-5.80544856056082,-7.28209868740807,-3.92998621057698,-5.4122667745739,1.9186261549697,1.93318704697188,1.70189724069829,1.94092248182397,176.108202369603,176.368018645846,176.108202369603,176.368018645846
3.5035035035035,-5.8076004807947,-7.30314667175883,-3.93872854085787,-5.41313762944794,1.91641669534347,1.91625285540596,1.70979353415211,1.95772043111621,176.095599033834,176.371419978512,176.095599033834,176.371419978512
3.6036036036036,-5.82605315258497,-7.31685787317133,-3.95246963255203,-5.42865392783915,1.91302662031033,1.8888177581404,1.71952971060647,1.95335397247236,176.082995668769,176.376337405706,176.082995668769,176.376337405706
3.7037037037037,-5.84183727395404,-7.33209625833264,-3.96020948645104,-5.4036135136045,1.90899274054498,1.829521684325,1.70977859191785,1.97620233054304,176.070392338272,176.383132640741,176.070392338272,176.383132640741
3.8038038038038,-5.85808698038313,-7.30827572087353,-3.96677492958502,-5.3796684933756,1.88793201125167,1.76583018684307,1.69633334610168,1.95340369216501,176.057788973607,176.38205224004,176.057788973607,176.38205224004
3.9039039039039,-5.86728023479086,-7.26299129937175,-3.98151121910495,-5.33846928593611,1.88438075618846,1.69946292849968,1.70716302708615,1.92887951623105,176.047328805706,176.369441695195,176.047328805706,176.369441695195
4.004004004004,-5.8914984753245,-7.23907654686981,-3.98940213772718,-5.29365331227646,1.87790688230723,1.61865330359838,1.69772630505936,1.90768739761788,176.033573544945,176.358734113847,176.033573544945,176.358734113847
4.1041041041041,-5.89276663220101,-7.23207674063887,-3.99837059096745,-5.23250359803899,1.87801020414859,1.57851988525375,1.68748282016455,1.86961680595453,176.009089780113,176.351852129029,176.009089780113,176.351852129029
4.2042042042042,-5.92038997484113,-7.24778378642675,-3.99870617037698,-5.22354323118198,1.86746931390857,1.53455758191958,1.66971004972716,1.85398592389292,175.982824166767,176.341091544344,175.982824166767,176.341091544344
4.3043043043043,-5.93501143898166,-7.2642741920755,-4.01137384859966,-5.20458106947031,1.85959309049122,1.52706439311263,1.66401251349102,1.83387550085838,175.95655855035,176.330330948682,175.95655855035,176.330330948682
4.4044044044044,-5.9413582806857,-7.29547783379923,-4.01449533137682,-5.21237234108003,1.84990952560604,1.52059742250701,1.67174264154784,1.83376205718456,175.941126192092,176.328156254521,175.941126192092,176.328156254521
4.5045045045045,-5.94461144709916,-7.34881519070407,-4.0082568643841,-5.23812140791272,1.86393424024766,1.53743665669069,1.6776705258028,1.86230082498604,175.926849326126,176.326974354955,175.926849326126,176.326974354955
4.6046046046046,-5.95906760930684,-7.40191089598834,-4.04068516557715,-5.27415586610682,1.85783538025648,1.57005827805234,1.69136548025057,1.87930194336236,175.912572477077,176.313243248348,175.912572477077,176.313243248348
4.7047047047047,-5.96688841444832,-7.42262750297172,-4.04316121557259,-5.30560394738958,1.86328942955932,1.57471830468878,1.70976219178983,1.88793048826775,175.895803952019,176.269890641608,175.895803952019,176.269890641608
4.8048048048048,-5.98139360904689,-7.45734168219604,-4.05733162540753,-5.33571690050517,1.87591617555617,1.58796677506531,1.76082467802191,1.91269691740289,175.877564083884,176.226538017117,175.877564083884,176.226538017117
4.9049049049049,-5.99595735906893,-7.47705402511535,-4.07158999718249,-5.35920408246686,1.88866754379314,1.61140180513789,1.7753333867458,1.91627221110126,175.8547868664,176.191315118318,175.8547868664,176.191315118318
5.00500500500501,-5.99753339006287,-7.51002642750594,-4.09783399692627,-5.39076606506871,1.90608637644746,1.61956420981955,1.80442510767517,1.92480236777352,175.830946831665,176.162773305372,175.830946831665,176.162773305372
5.10510510510511,-6.01177421571547,-7.53144485729606,-4.09347816827839,-5.38590140806583,1.91875661400638,1.6178612499591,1.81967567822831,1.93363984755523,175.807106801502,176.133717055455,175.807106801502,176.133717055455
5.20520520520521,-6.0200131709201,-7.54747984616627,-4.10919284771317,-5.40028623974366,1.92492130075696,1.64657223362929,1.80970544418389,1.9416658045348,175.783266762462,176.094602728662,175.783266762462,176.094602728662
