timestamp,angle_interp,pMMG
0,172.6737104,4.083450758
0.001,172.6737001,4.083450751
0.002,172.6736898,4.083450744
0.003,172.6736796,4.083450738
0.004,172.6736693,4.083450731
0.005,172.673659,4.060450724
0.006,172.6736487,4.060450717
0.007,172.6736385,4.06045071
0.008,172.6736282,4.060450703
0.009,172.6736179,4.060450696
0.01,172.6736077,4.08345069
0.011,172.6735974,4.083450683
0.012,172.6735871,4.083450676
0.013,172.6735768,4.083450669
0.014,172.6735666,4.083450662
0.015,172.6735563,4.079450655
0.016,172.673546,4.079450649
0.017,172.6735357,4.079450642
0.018,172.6735255,4.079450635
0.019,172.6735152,4.099450628
0.02,172.6735049,4.099450621
0.021,172.6736966,4.099450749
0.022,172.6738882,4.099450877
0.023,172.6740799,4.099451004
0.024,172.6742716,4.099451132
0.025,172.6744632,4.099451259
0.026,172.6746549,4.099451387
0.027,172.6748465,4.099451515
0.028,172.6750382,4.099451642
0.029,172.6752298,4.09945177
0.03,172.6754215,4.099451898
0.031,172.6756132,4.099452025
0.032,172.6758048,4.099452153
0.033,172.6759965,4.099452281
0.034,172.6761881,4.099452408
0.035,172.6763798,4.099452536
0.036,172.6765714,4.099452663
0.037,172.6767631,4.099452791
0.038,172.6769547,4.099452919
0.039,172.6771464,4.099453046
0.04,172.6773381,4.099453174
0.041,172.6775297,4.099453302
0.042,172.6777214,4.099453429
0.043,172.677913,4.099453557
0.044,172.6781047,4.099453685
0.045,172.6782963,4.099453812
0.046,172.678488,4.09945394
0.047,172.6786797,4.099454067
0.048,172.6788713,4.099454195
0.049,172.679063,4.099454323
0.05,172.6792546,4.09945445
0.051,172.6794463,4.099454578
0.052,172.6796379,4.099454706
0.053,172.6798296,4.099454833
0.054,172.6800213,4.099454961
0.055,172.6787342,4.099454104
0.056,172.6774471,4.099453247
0.057,172.6761601,4.099452389
0.058,172.674873,4.099451532
0.059,172.673586,4.099450675
0.06,172.6722989,4.099449818
0.061,172.6710118,4.099448961
0.062,172.6697248,4.099448104
0.063,172.6684377,4.099447247
0.064,172.6671507,4.09944639
0.065,172.6658636,4.099445532
0.066,172.6645765,4.099444675
0.067,172.6632895,4.099443818
0.068,172.6620024,4.099442961
0.069,172.6607154,4.099442104
