timestamp,angle_interp,pMMG
0,171.6143374,3.087036592
0.001,171.6160047,3.087069369
0.002,171.617672,3.087102145
0.003,171.6193393,3.087134921
0.004,171.6210067,3.087167698
0.005,171.622674,3.087200474
0.006,171.6243413,3.08723325
0.007,171.6260086,3.087266026
0.008,171.6276759,3.087298803
0.009,171.6293432,3.087331579
0.01,171.6310106,3.087364355
0.011,171.6326779,3.107397132
0.012,171.6343452,3.107429908
0.013,171.6360125,3.107462684
0.014,171.6376798,3.107495461
0.015,171.6393471,3.107528237
0.016,171.6410144,3.126561013
0.017,171.6425302,3.12659081
0.018,171.6440459,3.126620607
0.019,171.6455617,3.126650403
0.02,171.6470774,3.1266802
0.021,171.6485932,3.126709996
0.022,171.6501089,3.126739793
0.023,171.6516246,3.12676959
0.024,171.6531404,3.126799386
0.025,171.6546561,3.126829183
0.026,171.6561719,3.126858979
0.027,171.6576876,3.126888776
0.028,171.6592033,3.126918573
0.029,171.6607191,3.126948369
0.03,171.6622348,3.126978166
0.031,171.6637506,3.108007963
0.032,171.6652663,3.108037759
0.033,171.666782,3.108067556
0.034,171.6682978,3.108097352
0.035,171.6698135,3.108127149
0.036,171.6713293,3.108156946
0.037,171.672845,3.108186742
0.038,171.6743607,3.108216539
0.039,171.6758765,3.108246336
0.04,171.6773922,3.108276132
0.041,171.678908,3.088305929
0.042,171.6804237,3.088335725
0.043,171.6819394,3.088365522
0.044,171.6834552,3.088395319
0.045,171.6849709,3.088425115
0.046,171.6864867,3.088454912
0.047,171.6880024,3.088484709
0.048,171.6895181,3.088514505
0.049,171.6910339,3.088544302
0.05,171.6925496,3.088574098
0.051,171.6919588,3.088562484
0.052,171.691368,3.08855087
0.053,171.6907772,3.088539255
0.054,171.6901864,3.088527641
0.055,171.6895955,3.088516027
0.056,171.6890047,3.046504412
0.057,171.6884139,3.046492798
0.058,171.6878231,3.046481184
0.059,171.6872323,3.046469569
0.06,171.6866415,3.046457955
0.061,171.6860507,3.069446341
0.062,171.6854598,3.069434727
0.063,171.684869,3.069423112
0.064,171.6842782,3.069411498
0.065,171.6836874,3.069399884
0.066,171.6830966,3.050388269
0.067,171.6825058,3.050376655
0.068,171.6819149,3.050365041
0.069,171.6813241,3.050353426
0.07,171.6807333,3.050341812
0.071,171.6801425,3.050330198
0.072,171.6795517,3.050318583
0.073,171.6789609,3.050306969
0.074,171.6783701,3.050295355
0.075,171.6777792,3.05028374
0.076,171.6771884,3.050272126
0.077,171.6765976,3.050260512
0.078,171.6760068,3.050248897
0.079,171.675416,3.050237283
0.08,171.6748252,3.050225669
0.081,171.6742343,3.050214054
0.082,171.6736435,3.05020244
0.083,171.6730527,3.050190826
0.084,171.6699699,3.050130224
0.085,171.6668871,3.050069622
0.086,171.6638044,3.05000902
0.087,171.6607216,3.049948419
0.088,171.6576388,3.049887817
0.089,171.654556,3.049827215
0.09,171.6514732,3.049766613
0.091,171.6483905,3.049706012
0.092,171.6453077,3.04964541
0.093,171.6422249,3.049584808
0.094,171.6391421,3.049524207
0.095,171.6360593,3.049463605
0.096,171.6329765,3.049403003
0.097,171.6298938,3.049342401
0.098,171.626811,3.0492818
0.099,171.6237282,3.049221198
0.1,171.6206454,3.049160596
0.101,171.6175626,3.053099994
0.102,171.6144798,3.053039393
0.103,171.6113971,3.052978791
0.104,171.6083143,3.052918189
0.105,171.6052315,3.052857587
0.106,171.6021487,3.067796986
0.107,171.5990659,3.067736384
0.108,171.5959832,3.067675782
0.109,171.5929004,3.06761518
0.11,171.5898176,3.067554579
0.111,171.5867348,3.048493977
0.112,171.583652,3.048433375
0.113,171.5805692,3.048372773
0.114,171.5774865,3.048312172
0.115,171.5744037,3.04825157
0.116,171.5713209,3.048190968
0.117,171.5737611,3.048238939
0.118,171.5762014,3.04828691
0.119,171.5786416,3.04833488
0.12,171.5810819,3.048382851
0.121,171.5835221,3.067430821
0.122,171.5859624,3.067478792
0.123,171.5884026,3.067526763
0.124,171.5908428,3.067574733
0.125,171.5932831,3.067622704
0.126,171.5957233,3.048670675
0.127,171.5981636,3.048718645
0.128,171.6006038,3.048766616
0.129,171.6030441,3.048814587
0.13,171.6054843,3.048862557
0.131,171.6079246,3.028910528
0.132,171.6103648,3.028958499
0.133,171.612805,3.029006469
0.134,171.6152453,3.02905444
0.135,171.6176855,3.02910241
0.136,171.6201258,3.025150381
0.137,171.622566,3.025198352
0.138,171.6250063,3.025246322
0.139,171.6274465,3.025294293
0.14,171.6298868,3.025342264
0.141,171.632327,3.029390234
0.142,171.6347672,3.029438205
0.143,171.6372075,3.029486176
0.144,171.6396477,3.029534146
0.145,171.642088,3.029582117
0.146,171.6445282,3.045630088
0.147,171.6469685,3.045678058
0.148,171.6494087,3.045726029
0.149,171.651849,3.045774
0.15,171.6542892,3.04582197
0.151,171.6560064,3.049855726
0.152,171.6577235,3.049889482
0.153,171.6594407,3.049923238
0.154,171.6611578,3.049956994
0.155,171.662875,3.04999075
0.156,171.6645921,3.050024506
0.157,171.6663092,3.050058262
0.158,171.6680264,3.050092018
0.159,171.6697435,3.050125774
0.16,171.6714607,3.05015953
0.161,171.6731778,3.069193286
0.162,171.674895,3.069227041
0.163,171.6766121,3.069260797
0.164,171.6783293,3.069294553
0.165,171.6800464,3.069328309
0.166,171.6817636,3.069362065
0.167,171.6834807,3.069395821
0.168,171.6851979,3.069429577
0.169,171.686915,3.069463333
0.17,171.6886322,3.069497089
0.171,171.6903493,3.069530845
0.172,171.6920665,3.069564601
0.173,171.6937836,3.069598357
0.174,171.6955008,3.069632113
0.175,171.6972179,3.069665869
0.176,171.6989351,3.050699625
0.177,171.7006522,3.050733381
0.178,171.7023694,3.050767137
0.179,171.7040865,3.050800892
0.18,171.7058037,3.050834648
0.181,171.7075208,3.069868404
0.182,171.709238,3.06990216
0.183,171.7109551,3.069935916
