SquatPhase,pMMGMean_1,pMMGMean_2,pMMGMean_3,pMMGMean_4,pMMGMean_5,pMMGStd_1,pMMGStd_2,pMMGStd_3,pMMGStd_4,pMMGStd_5,ThetaMean_1,ThetaMean_2,ThetaMean_3,ThetaMean_4,ThetaMean_5
93.1931931931932,-4.46680548679778,-3.5927891446236,-9.82863626846976,-6.29034049802382,-2.47939698211687,0.887290173928973,0.521454368574375,2.7837834324738,0.759969902112185,0.387914751347393,164.129341842643,173.933296086453,164.129341842643,173.933296086453,164.129341842643
93.2932932932933,-4.43288615249717,-3.59171798033295,-9.81758280624593,-6.29048289777943,-2.44559570670073,0.912737729412643,0.510877726523016,2.7734604742468,0.757160841990524,0.359386656723851,164.376678392426,173.911243935636,164.376678392426,173.911243935636,164.376678392426
93.3933933933934,-4.4035440420847,-3.59887381861381,-9.81311675360179,-6.27661564335727,-2.41032699016751,0.933152950523158,0.499971821244357,2.7652725732646,0.755982225687465,0.348706460148043,164.568680383584,173.889366081281,164.568680383584,173.889366081281,164.568680383584
93.4934934934935,-4.38713969827825,-3.59315871673419,-9.79444146787223,-6.27609879883355,-2.40518312944104,0.954052320270032,0.490333400427963,2.74748080968272,0.754734239562399,0.335267494544569,164.761016111111,173.868366784451,164.761016111111,173.868366784451,164.761016111111
93.5935935935936,-4.35361541565769,-3.61245354729853,-9.77454756250889,-6.27232445590064,-2.37686937186256,0.961764162374186,0.50954293444827,2.77813045810781,0.74409329320696,0.316732057970729,164.960519757558,173.851333805939,164.960519757558,173.851333805939,164.960519757558
93.6936936936937,-4.33512799929707,-3.59982557684619,-9.76897761138315,-6.26412307520368,-2.35491470644279,0.969926702937262,0.510542112587344,2.80312779265883,0.731076865429014,0.30978028671066,165.160023431231,173.847061358258,165.160023431231,173.847061358258,165.160023431231
93.7937937937938,-4.33645223530706,-3.62052962361858,-9.75173166405914,-6.25858521895907,-2.33961342787185,0.987245525369424,0.499396059896074,2.81900916732385,0.735050773177075,0.297085455730045,165.359527099233,173.842788891725,165.359527099233,173.842788891725,165.359527099233
93.8938938938939,-4.3263317556308,-3.61789287220899,-9.72754657792521,-6.25670273837104,-2.31811181378394,0.994299588384165,0.497142084774736,2.82179408458061,0.721081741020465,0.290907373094981,165.51772479009,173.838734405806,165.51772479009,173.838734405806,165.51772479009
93.993993993994,-4.33396029456156,-3.60929192567438,-9.72607876272166,-6.26131399028305,-2.30157597169333,1.00467371128659,0.514655629593416,2.82791875261106,0.713403987341181,0.266842680266217,165.65864165966,173.835847992593,165.65864165966,173.835847992593,165.65864165966
94.0940940940941,-4.33173673212385,-3.59352833771676,-9.70259053211681,-6.23943022742377,-2.29353695167145,1.0263222534596,0.517188175482001,2.83134045708325,0.708245658188073,0.287442606138373,165.791894125459,173.833712560494,165.791894125459,173.833712560494,165.791894125459
94.1941941941942,-4.32784432669105,-3.59483216805937,-9.70275957446749,-6.23051418797154,-2.28549766400234,1.03404897633942,0.516802409223503,2.85391347164124,0.708727243724781,0.291147999201338,165.925146644144,173.831624417284,165.925146644144,173.831624417284,165.925146644144
94.2942942942943,-4.31628308132682,-3.59479625799193,-9.69191923890611,-6.22953887091121,-2.29679144171881,1.05464807661079,0.51644903379944,2.85065270388633,0.726349393188346,0.33183177564249,166.058399143644,173.829716562963,166.058399143644,173.829716562963,166.058399143644
94.3943943943944,-4.31767933718298,-3.59484310828283,-9.69098670190696,-6.21500515138857,-2.30017583681963,1.07111628511224,0.515973493945248,2.85437221576432,0.706148089979843,0.359583654773439,166.16268899653,173.82482773677,166.16268899653,173.82482773677,166.16268899653
94.4944944944945,-4.30589389304885,-3.59154848783104,-9.68358677285873,-6.2169672296268,-2.29505516031954,1.05649576714882,0.50618480125938,2.85798733786163,0.740288419657345,0.362329089211313,166.24588463043,173.815507872539,166.24588463043,173.815507872539,166.24588463043
94.5945945945946,-4.3025273479038,-3.60052620433333,-9.67575130736632,-6.21027281844694,-2.27226554548505,1.03681042028093,0.503054221363233,2.88907772615458,0.725664286328473,0.377607411761998,166.329080267568,173.805831365766,166.329080267568,173.805831365766,166.329080267568
94.6946946946947,-4.3064956253904,-3.59403746518253,-9.68146098356734,-6.22157524650028,-2.28124309707962,1.03463094386407,0.512355470899603,2.87704324091561,0.715955485981858,0.388917754965796,166.412275931665,173.796154825659,166.412275931665,173.796154825659,166.412275931665
94.7947947947948,-4.31715580569222,-3.60261866544451,-9.67754451713616,-6.23526214128854,-2.27198562539798,1.01721525632582,0.510773059966986,2.88997178812631,0.736481900052385,0.413828806295537,166.495529419453,173.788328800033,166.495529419453,173.788328800033,166.495529419453
94.8948948948949,-4.328217484678,-3.60837440530398,-9.66895261142203,-6.24104244292565,-2.25090888276608,1.00136386715005,0.513094513953367,2.90463281266288,0.713959306997933,0.414188955850297,166.573799250951,173.789149559059,166.573799250951,173.789149559059,166.573799250951
94.994994994995,-4.32347494650654,-3.60674090089559,-9.68812518895878,-6.24537377187206,-2.22391289339544,0.995771523100426,0.50272234175793,2.88520383048785,0.729070620230045,0.403824109374652,166.649851812613,173.796282556957,166.649851812613,173.796282556957,166.649851812613
95.0950950950951,-4.32574013153163,-3.59977273766002,-9.69579101846652,-6.25203526908266,-2.20968584017021,0.986879145723715,0.492098330212827,2.89124540493121,0.736528155031801,0.399928994635662,166.729636427027,173.803415533867,166.729636427027,173.803415533867,166.729636427027
95.1951951951952,-4.33866979243988,-3.61380325037898,-9.70144739813512,-6.2457947052143,-2.19379185186891,0.989362592815075,0.491699560996042,2.8862423271849,0.748498929551735,0.388044759367061,166.809421074775,173.810548525626,166.809421074775,173.810548525626,166.809421074775
95.2952952952953,-4.32825341873378,-3.60718308376122,-9.71636351403446,-6.2503717156729,-2.17712353119049,0.989147135091357,0.490950300103379,2.88003773555036,0.757397325957149,0.369487238424198,166.889682511211,173.817067718151,166.889682511211,173.817067718151,166.889682511211
95.3953953953954,-4.33735698493666,-3.59959108292791,-9.72138549029283,-6.23307265018378,-2.17173833775277,0.98370932719211,0.500024661840102,2.89426350655688,0.754921254964934,0.352435546899953,166.961369215649,173.829426132266,166.961369215649,173.829426132266,166.961369215649
