GaitPhase,pMMGMean_2,pMMGStd_2,pMMGMean_4,pMMGStd_4,pMMGMean_4_1,pMMGStd_4_1,NewColumn
0,1.389543653,0.149355734,1.355513169,0.147684045,1.745257731,0.640526616,-15.8570998915992
0.1001001,1.389475918,0.149342152,1.36101971,0.155798543,1.742617726,0.6338747,-15.8526732032449
0.2002002,1.389379597,0.149328133,1.333481277,0.130771242,1.731953999,0.662003194,-15.8482465148905
0.3003003,1.377783275,0.133050657,1.333106007,0.127847222,1.742113763,0.672522936,-15.8438198265361
0.4004004,1.367686953,0.118894502,1.33906407,0.128120256,1.750598518,0.69968583,-15.8393931381817
0.500500501,1.348590632,0.124537337,1.331043154,0.11317566,1.75074994,0.713822778,-15.8349664497831
0.600600601,1.34849431,0.124523316,1.327730948,0.1126902,1.742568029,0.735984531,-15.8305397614287
0.700700701,1.341343691,0.114638458,1.31293826,0.104080927,1.75542319,0.757897976,-15.8261130730743
0.800800801,1.321778038,0.123458477,1.312573678,0.101926515,1.750152236,0.783690832,-15.8216863847199
0.900900901,1.310438341,0.121169671,1.302063128,0.084220845,1.748530249,0.783999215,-15.8172596963655
1.001001001,1.302502047,0.110316308,1.290270394,0.090923163,1.748241594,0.801959042,-15.8128330080111
1.101101101,1.312205393,0.124409164,1.299578429,0.079178368,1.749286274,0.782718943,-15.8084063196568
1.201201201,1.299908739,0.10738932,1.298214459,0.065515715,1.769664287,0.802775975,-15.8039796313024
1.301301301,1.29011458,0.099558336,1.278876514,0.077685027,1.766002167,0.806095411,-15.8131739586752
1.401401401,1.287875231,0.096599586,1.270869537,0.072283758,1.777148194,0.776307755,-15.8759146867214
1.501501502,1.287642762,0.096478995,1.249492203,0.061375551,1.765797472,0.791770691,-15.9386554153944
1.601601602,1.287418903,0.096370579,1.25847065,0.069110226,1.760210911,0.793110458,-16.0013961434406
1.701701702,1.269195043,0.093433736,1.260336196,0.081031609,1.77078284,0.798154793,-16.0641368714869
1.801801802,1.268971184,0.09332532,1.249447486,0.093439787,1.790958708,0.797104505,-16.1268775995331
1.901901902,1.259247325,0.079781876,1.257105323,0.084122979,1.795231672,0.814284139,-16.1896183275793
2.002002002,1.239973887,0.079743574,1.23789696,0.103966935,1.819581537,0.850030937,-16.2523590556256
2.102102102,1.249144237,0.066349741,1.238288863,0.115422749,1.820468552,0.847527069,-16.3150997836718
2.202202202,1.237493884,0.0560379,1.236362763,0.131690264,1.821040887,0.845943671,-16.3586024099622
2.302302302,1.218384079,0.07760321,1.239104075,0.127520212,1.8382669,0.87352319,-16.3576194646214
2.402402402,1.23615916,0.055165101,1.239846618,0.129148716,1.84415958,0.870087437,-16.3566365192805
2.502502503,1.222391197,0.030544799,1.221049395,0.124985004,1.856385593,0.867840883,-16.3556535739299
2.602602603,1.217991023,0.024863605,1.227095775,0.150580548,1.857387387,0.899107683,-16.3546706285891
2.702702703,1.217524194,0.025103406,1.234302314,0.149080971,1.844677735,0.890534354,-16.3536876832482
2.802802803,1.198057364,0.025343208,1.238467787,0.142580503,1.846075246,0.903509163,-16.3527047379074
2.902902903,1.187577646,0.015447412,1.237319779,0.143681679,1.848039017,0.911150416,-16.3517217925666
3.003003003,1.15007009,0.014433278,1.240450117,0.136950308,1.839612197,0.892406526,-16.3507388472258
3.103103103,1.150512985,0.009028703,1.244056364,0.134954969,1.839845591,0.895311356,-16.3353265107609
3.203203203,1.11805498,0.026111398,1.230577592,0.145212068,1.813379179,0.900948238,-16.2981882442893
3.303303303,1.136907512,0.054068633,1.244452583,0.147929442,1.804334226,0.886908108,-16.2610499778177
3.403403403,1.136201663,0.054531269,1.236765796,0.141129361,1.798289273,0.897856317,-16.223911711346
3.503503504,1.123995813,0.071257362,1.235903914,0.141226665,1.795913716,0.898007654,-16.1867734445034
3.603603604,1.134784307,0.110602874,1.23501052,0.159182758,1.769280088,0.887176855,-16.1496351780317
3.703703704,1.125320708,0.076052765,1.224117127,0.172227917,1.755037729,0.883739461,-16.1124969115601
3.803803804,1.11428804,0.111408551,1.236545856,0.174796044,1.736116553,0.86893304,-16.0753586450884
3.903903904,1.132185683,0.111426862,1.214060668,0.176023308,1.751598732,0.889229086,-16.0382203786168
4.004004004,1.121518176,0.125562653,1.186627197,0.196455864,1.758492602,0.899868122,-16.0070497303897
4.104104104,1.11035067,0.140405551,1.181801024,0.214991806,1.752572324,0.901281202,-15.9819622593541
4.204204204,1.109183164,0.141106314,1.187475796,0.235388609,1.758796335,0.895035176,-15.9568747883184
