GaitPhase,pMMGMean_5,pMMGStd_5,pMMGMean_5_1,pMMGStd_5_1,pMMGMean_3,pMMGStd_3,NewColumn
5.005005005,-0.842077775,0.145134913,-0.392003237,0.454917403,-0.887725924,0.208492133,-15.8246912435826
5.105105105,-0.842940289,0.131807452,-0.406107159,0.454620758,-0.874077719,0.191205482,-15.8426503141508
5.205205205,-0.835450682,0.138406035,-0.424350768,0.432326503,-0.870988074,0.188850886,-15.8606093847191
5.305305305,-0.847239435,0.127705251,-0.432006931,0.425792462,-0.872112642,0.192456091,-15.8785684552873
5.405405405,-0.833638245,0.121976133,-0.440996428,0.431857556,-0.875169143,0.198793459,-15.8965275258555
5.505505506,-0.834267089,0.111234864,-0.43167428,0.420021415,-0.8535333,0.171194871,-15.9144865966032
5.605605606,-0.838781204,0.10467472,-0.445642087,0.421057793,-0.840692405,0.184669131,-15.9324456671714
5.705705706,-0.83699969,0.105840013,-0.460276228,0.383148925,-0.787844113,0.254701473,-15.9504047377396
5.805805806,-0.836971831,0.095326439,-0.457736289,0.382504656,-0.794796281,0.23959881,-16.10039694298
5.905905906,-0.845474829,0.077944103,-0.455602928,0.383329913,-0.761748449,0.196211876,-16.3098635510297
6.006006006,-0.848225074,0.07575798,-0.463152405,0.392799084,-0.770700617,0.21222191,-16.5193301590793
6.106106106,-0.84209218,0.080788125,-0.46804069,0.398735698,-0.759639551,0.194309537,-16.7287967671289
6.206206206,-0.85156316,0.076728308,-0.491595641,0.387380087,-0.734354262,0.196513251,-16.9382633751785
6.306306306,-0.841505278,0.07505464,-0.495150592,0.376028411,-0.731068974,0.195888537,-17.1477299832281
6.406406406,-0.838886076,0.071687817,-0.491932024,0.393404266,-0.705769808,0.164131497,-17.3571965912777
6.506506507,-0.852152494,0.081362806,-0.487022027,0.392042697,-0.703838686,0.165421865,-17.5666632014198
6.606606607,-0.849949442,0.100588727,-0.490018608,0.398152706,-0.687907565,0.146913243,-17.7761298094695
6.706706707,-0.839770868,0.112940123,-0.471990715,0.39430913,-0.673976444,0.131233047,-18.0190090144371
6.806806807,-0.844181517,0.105165522,-0.457911553,0.39085072,-0.660766405,0.116798094,-18.2706128435424
6.906906907,-0.834166504,0.105472176,-0.459756314,0.368883129,-0.649323857,0.105950736,-18.5222166726477
7.007007007,-0.837231236,0.13142421,-0.455956765,0.383806282,-0.637881309,0.095103379,-18.773820501753
7.107107107,-0.825149469,0.134070221,-0.472060921,0.365372055,-0.626848452,0.084835411,-19.0254243308583
7.207207207,-0.806705598,0.175026881,-0.487455799,0.385134608,-0.624562105,0.086936878,-19.2770281599636
7.307307307,-0.78192488,0.20612255,-0.470774818,0.377568126,-0.608343827,0.041051347,-19.528631989069
7.407407407,-0.762309327,0.198532898,-0.486113745,0.357784911,-0.608940364,0.033611473,-19.7802358181743
7.507507508,-0.762669763,0.184730617,-0.49745097,0.335886458,-0.601777376,0.013766464,-20.0318396497931
7.607607608,-0.765696504,0.15871281,-0.492788195,0.320446546,-0.597294042,0.014022315,-20.7673678257363
7.707707708,-0.764756391,0.166894038,-0.518443451,0.306996314,-0.590810708,0.017106595,-21.4927407825963
7.807807808,-0.763854851,0.167073183,-0.531693,0.277946667,-0.608327375,0.048475146,-21.116796022022
7.907907908,-0.741589659,0.15014226,-0.542573512,0.258336116,-0.596391654,0.059270264,-20.7408512614478
8.008008008,-0.737989168,0.170159548,-0.529059563,0.239964947,-0.592610006,0.058533784,-20.3649065008735
8.108108108,-0.707389793,0.16770388,-0.540350638,0.241946605,-0.596828358,0.069111012,-19.9889617402992
8.208208208,-0.69349849,0.178724443,-0.529376257,0.240163211,-0.59319116,0.068578814,-19.613016979725
8.308308308,-0.676710958,0.161144314,-0.515750578,0.220925843,-0.577588181,0.085065574,-19.2370722191507
8.408408408,-0.670547064,0.181330258,-0.520376929,0.228715443,-0.585985203,0.067611209,-18.8611274585764
8.508508509,-0.654836424,0.186786295,-0.5156583,0.208341215,-0.589581425,0.056946201,-18.6103153319556
8.608608609,-0.645792451,0.181521472,-0.476273004,0.219407849,-0.597245078,0.0828846,-18.3606528573996
8.708708709,-0.630081811,0.17226051,-0.480887708,0.205468271,-0.598406139,0.089876346,-18.1109903828436
8.808808809,-0.603757101,0.174921414,-0.453200655,0.223983017,-0.600924556,0.080735583,-18.0434606769541
8.908908909,-0.591402277,0.167120562,-0.442645037,0.229320959,-0.610041538,0.063565322,-18.4985089783821
9.009009009,-0.58744798,0.172771275,-0.425964063,0.227653615,-0.607364343,0.063181048,-18.95355727981
9.109109109,-0.554120281,0.173142618,-0.399093966,0.239823447,-0.612687147,0.051483065,-19.4086055812379
9.209209209,-0.528248039,0.176648026,-0.388932578,0.203796928,-0.60000995,0.065240927,-19.8636538826659
9.309309309,-0.52020963,0.156918065,-0.397718136,0.193209619,-0.606561181,0.051805686,-20.3541014787427
9.409409409,-0.502837888,0.164202645,-0.419650174,0.223804879,-0.592857841,0.067014735,-20.8803822265815
9.50950951,-0.502631283,0.165254292,-0.420528945,0.217419142,-0.591178956,0.065287806,-21.4066629796777
9.60960961,-0.486484771,0.174126656,-0.444203205,0.193716999,-0.555576335,0.026899178,-21.9329437275164
9.70970971,-0.475395808,0.154999208,-0.464928481,0.187882679,-0.553973715,0.025280102,-22.2154722430288
9.80980981,-0.452304359,0.171999947,-0.487320422,0.147057279,-0.550371094,0.030079089,-22.2634960286205
9.90990991,-0.443879578,0.185779001,-0.509712364,0.10771364,-0.526768473,0.028869736,-22.3115198142123
10.01001001,-0.42478813,0.188635875,-0.519129998,0.113364985,-0.532863511,0.041374945,-22.359543599804
10.11011011,-0.417709971,0.203671854,-0.53582958,0.102210948,-0.51035679,0.036987228,-22.4077798927114
10.21021021,-0.388645709,0.216102117,-0.524944991,0.104237551,-0.495520193,0.025149828,-22.4877479403623
10.31031031,-0.371566285,0.225241372,-0.527377872,0.102796523,-0.482791066,0.011979808,-22.5677159880133
10.41041041,-0.361114254,0.223698414,-0.50534587,0.125228046,-0.463871749,0.018339808,-22.6476840356642
