GaitPhase,pMMGMean_4,pMMGStd_4,pMMGMean_4_1,pMMGStd_4_1,pMMGMean_4_2,pMMGStd_4_2,NewColumn
0,1.621807093,0.188616109,1.649637285,0.508084482,2.066579856,1.046490356,-15.8570998915992
0.1001001,1.62926121,0.183731033,1.64937973,0.50795367,2.073397954,1.036811323,-15.8526732032449
0.2002002,1.627651401,0.167335552,1.62370642,0.496817534,2.071544935,1.033690976,-15.8482465148905
0.3003003,1.635374926,0.162588364,1.618033108,0.501777712,2.071226451,1.034057324,-15.8438198265361
0.4004004,1.654431783,0.181719525,1.604693131,0.498515576,2.063269828,1.039568776,-15.8393931381817
0.500500501,1.639821974,0.175136496,1.58901982,0.475731071,2.063089482,1.045396621,-15.8349664497831
0.600600601,1.660211655,0.192579888,1.582346509,0.45226358,2.05909254,1.023696453,-15.8305397614287
0.700700701,1.652250749,0.197304387,1.571672566,0.427574073,2.054011845,1.025791216,-15.8261130730743
0.800800801,1.659925592,0.188279631,1.556873512,0.411469631,2.043688223,1.013245096,-15.8216863847199
0.900900901,1.655396231,0.209156444,1.55640779,0.378113153,2.05049473,0.974773142,-15.8172596963655
1.001001001,1.652608612,0.208373602,1.571376503,0.382265918,2.059274712,0.932096062,-15.8128330080111
1.101101101,1.650950122,0.209273272,1.568117988,0.361997532,2.070297936,0.914530828,-15.8084063196568
1.201201201,1.669945162,0.226766651,1.574343958,0.371186052,2.096981839,0.902953732,-15.8039796313024
1.301301301,1.683926313,0.214631839,1.607560768,0.377523186,2.112389389,0.878835467,-15.8131739586752
1.401401401,1.676966435,0.221303512,1.618753007,0.40056173,2.124160454,0.859859969,-15.8759146867214
1.501501502,1.715458708,0.244708536,1.637535663,0.399976433,2.158189972,0.836276322,-15.9386554153944
1.601601602,1.746011041,0.280106855,1.656318318,0.418295151,2.174553825,0.839089913,-16.0013961434406
1.701701702,1.74520001,0.262928277,1.681100973,0.428561273,2.202196957,0.824537981,-16.0641368714869
1.801801802,1.744336162,0.26646,1.713216962,0.449552922,2.229005937,0.809834127,-16.1268775995331
1.901901902,1.749799678,0.245364944,1.725628377,0.471206293,2.260306003,0.821280617,-16.1896183275793
2.002002002,1.774922759,0.223802855,1.756989231,0.492964595,2.302891855,0.861415541,-16.2523590556256
2.102102102,1.780106232,0.216934139,1.763846008,0.502019408,2.320437901,0.860897509,-16.3150997836718
2.202202202,1.772247048,0.192529287,1.770587088,0.526771566,2.328361847,0.845702911,-16.3586024099622
