GaitPhase,pMMGMean_2,pMMGStd_2,pMMGMean_2_1,pMMGStd_2_1,pMMGMean_2_2,pMMGStd_2_2,NewColumn
0,2.664608357,0.307217207,2.485351604,0.675779141,2.424031233,0.831103744,-15.8570998915992
0.1001001,2.670930638,0.314352193,2.459671545,0.66435329,2.427306264,0.805257033,-15.8526732032449
0.2002002,2.682582929,0.33623019,2.452987201,0.666369237,2.387794209,0.752357031,-15.8482465148905
0.3003003,2.690568554,0.344414774,2.440302856,0.661984974,2.385624996,0.727015792,-15.8438198265361
0.4004004,2.709887511,0.358592998,2.433618512,0.648455443,2.375970298,0.708138314,-15.8393931381817
0.500500501,2.713539802,0.399231009,2.414267501,0.647194531,2.356453738,0.680580199,-15.8349664497831
0.600600601,2.734525399,0.44411043,2.39491649,0.629636465,2.34642985,0.666446749,-15.8305397614287
0.700700701,2.7085101,0.447268205,2.373898779,0.613550367,2.328929723,0.688134253,-15.8261130730743
0.800800801,2.714826526,0.471330702,2.373874563,0.596837337,2.298475811,0.680775638,-15.8216863847199
0.900900901,2.739203012,0.552557965,2.367489986,0.552086959,2.300251129,0.683361818,-15.8172596963655
1.001001001,2.752126045,0.583552794,2.351106411,0.532942962,2.284394315,0.671742867,-15.8128330080111
1.101101101,2.734109138,0.593666329,2.356135248,0.511976227,2.281298261,0.6760186,-15.8084063196568
1.201201201,2.765091548,0.638260888,2.381777699,0.506712522,2.278559335,0.652911494,-15.8039796313024
1.301301301,2.753739902,0.646522832,2.379087641,0.505410778,2.286057899,0.669055896,-15.8131739586752
1.401401401,2.790707323,0.677887784,2.394396305,0.512814716,2.287921715,0.694583249,-15.8759146867214
1.501501502,2.895060548,0.87756654,2.407701005,0.533799827,2.297358267,0.707986923,-15.9386554153944
1.601601602,2.935622982,0.926856833,2.430672372,0.56117401,2.306794818,0.721390595,-16.0013961434406
1.701701702,2.942247477,0.90530133,2.446310405,0.584675852,2.31673137,0.735501375,-16.0641368714869
1.801801802,2.934535893,0.909783145,2.465615105,0.618098017,2.328643443,0.779276021,-16.1268775995331
1.901901902,2.942157332,0.905344703,2.483917834,0.633072935,2.331895328,0.757063197,-16.1896183275793
2.002002002,2.942111735,0.900519286,2.504551267,0.668781287,2.326455522,0.776298581,-16.2523590556256
2.102102102,2.935385279,0.903768001,2.504233972,0.686946959,2.335853923,0.762799849,-16.3150997836718
2.202202202,2.941656606,0.914476765,2.523326521,0.720489929,2.328245974,0.773351726,-16.3586024099622
2.302302302,2.941594263,0.914514471,2.522421072,0.717825028,2.316137744,0.790267164,-16.3576194646214
2.402402402,2.928529886,0.921259057,2.517376483,0.726332548,2.306028253,0.776068123,-16.3566365192805
2.502502503,2.922132175,0.924743082,2.496000442,0.727313246,2.270844188,0.780148393,-16.3556535739299
2.602602603,2.929067798,0.932222778,2.465627736,0.721722908,2.238309272,0.734235011,-16.3546706285891
2.702702703,2.909331365,0.944433035,2.44558791,0.690386307,2.220699781,0.732056785,-16.3536876832482
2.802802803,2.909244139,0.974674831,2.419867797,0.646333205,2.218564574,0.734864675,-16.3527047379074
