GaitPhase,pMMGMean_1,pMMGStd_1,pMMGMean_1_1,pMMGStd_1_1,pMMGMean_1_2,pMMGStd_1_2,NewColumn
0,1.407197232,0.606081944,1.69422945,0.539275525,1.458623733,0.125978064,-15.8570998915992
0.1001001,1.392982043,0.618552162,1.712889546,0.535548233,1.44374329,0.138695384,-15.8526732032449
0.2002002,1.387298134,0.619749459,1.696200562,0.524265268,1.448298702,0.133613331,-15.8482465148905
0.3003003,1.385614226,0.62171675,1.672726127,0.538460113,1.44979906,0.13156649,-15.8438198265361
0.4004004,1.378596984,0.630452081,1.666883656,0.546207561,1.443160278,0.136888309,-15.8393931381817
0.500500501,1.366906247,0.621044985,1.635236714,0.559303923,1.435104079,0.158653189,-15.8349664497831
0.600600601,1.352505444,0.633316703,1.625446963,0.55061225,1.437216049,0.162658058,-15.8305397614287
0.700700701,1.353147354,0.613636776,1.60138494,0.566366024,1.4419106,0.171095967,-15.8261130730743
0.800800801,1.344534524,0.617105289,1.580056573,0.583689766,1.435271819,0.193517675,-15.8216863847199
0.900900901,1.328982999,0.592252914,1.55422572,0.589704523,1.447871233,0.215660807,-15.8172596963655
1.001001001,1.316561604,0.602660899,1.521707847,0.604571694,1.450780595,0.224884535,-15.8128330080111
1.101101101,1.318609345,0.581213297,1.496105222,0.606059859,1.453086353,0.244140153,-15.8084063196568
1.201201201,1.310386482,0.585994187,1.489489918,0.610366651,1.469007727,0.279943316,-15.8039796313024
1.301301301,1.304837741,0.55559404,1.489514921,0.629133437,1.476634807,0.303260575,-15.8131739586752
1.401401401,1.302984389,0.557090364,1.508823698,0.676057005,1.509742367,0.327232702,-15.8759146867214
1.501501502,1.297156516,0.544198899,1.507566501,0.676820587,1.51380288,0.335667113,-15.9386554153944
1.601601602,1.289003402,0.553063075,1.537766695,0.699281353,1.500624154,0.346112296,-16.0013961434406
1.701701702,1.276516955,0.525714941,1.580079488,0.749363342,1.521188267,0.365812818,-16.0641368714869
1.801801802,1.282697175,0.522014496,1.625368257,0.794565711,1.544444248,0.378953099,-16.1268775995331
1.901901902,1.261544179,0.519883287,1.682531901,0.858915817,1.557434931,0.399687732,-16.1896183275793
2.002002002,1.267840431,0.516612712,1.737798314,0.894496839,1.552487009,0.402331467,-16.2523590556256
2.102102102,1.254839206,0.498414125,1.809063788,0.966490064,1.545814697,0.408408996,-16.3150997836718
2.202202202,1.244579652,0.510765416,1.860000784,1.023467453,1.550475717,0.416492185,-16.3586024099622
2.302302302,1.233211323,0.502428927,1.918320359,1.089626691,1.571453387,0.433656149,-16.3576194646214
2.402402402,1.227561712,0.509375856,1.956800769,1.141083606,1.566092052,0.43856002,-16.3566365192805
2.502502503,1.215578768,0.49031865,1.987281179,1.198411606,1.563748406,0.439656539,-16.3556535739299
2.602602603,1.202097621,0.469000681,2.007428255,1.231481887,1.56325311,0.439006461,-16.3546706285891
2.702702703,1.194625993,0.460964223,2.011908666,1.277524349,1.559858248,0.455623564,-16.3536876832482
2.802802803,1.173424635,0.459551704,2.019152925,1.30772118,1.560436723,0.456930968,-16.3527047379074
2.902902903,1.180706497,0.455597032,2.005471105,1.34880868,1.564324509,0.460203764,-16.3517217925666
3.003003003,1.171167604,0.454017681,1.984789286,1.365536115,1.573260342,0.493479997,-16.3507388472258
3.103103103,1.164513596,0.425557645,1.967388424,1.382921392,1.591838818,0.525644302,-16.3353265107609
3.203203203,1.150934732,0.430065136,1.956806751,1.407586065,1.615750627,0.567007577,-16.2981882442893
3.303303303,1.149630064,0.439314979,1.934827013,1.422278646,1.633353672,0.616290326,-16.2610499778177
3.403403403,1.143325394,0.439360851,1.935513943,1.438150483,1.63471096,0.622057509,-16.223911711346
3.503503504,1.135687392,0.428454016,1.927946803,1.459612676,1.652994747,0.653924156,-16.1867734445034
3.603603604,1.126537132,0.431893114,1.919960995,1.482114927,1.663606675,0.690428508,-16.1496351780317
3.703703704,1.116528988,0.417420558,1.924975186,1.492495305,1.673182172,0.717791534,-16.1124969115601
3.803803804,1.110889974,0.422069713,1.904656045,1.491908406,1.673516427,0.724216565,-16.0753586450884
3.903903904,1.100795199,0.410051773,1.883562989,1.474916828,1.659110944,0.739487676,-16.0382203786168
4.004004004,1.100181704,0.403435934,1.870451945,1.454237808,1.652721944,0.747990344,-16.0070497303897
4.104104104,1.085901542,0.422463977,1.854672622,1.428949644,1.664962816,0.805394082,-15.9819622593541
4.204204204,1.080503262,0.423873403,1.820816716,1.389607734,1.669870354,0.848493223,-15.9568747883184
