GaitPhase,pMMGMean_2,pMMGStd_2,pMMGMean_2_1,pMMGStd_2_1,pMMGMean_2_2,pMMGStd_2_2,NewColumn
0,1.410558114,0.248800016,0.893177124,0.17793482,1.002787118,0.067803559,-15.8570998915992
0.1001001,1.393347016,0.24130423,0.917263807,0.150192177,0.975170002,0.078171883,-15.8526732032449
0.2002002,1.382686728,0.233744587,0.958606036,0.125877267,0.981004963,0.049977799,-15.8482465148905
0.3003003,1.369834248,0.232903109,1.016056707,0.156803693,0.959936688,0.074475338,-15.8438198265361
0.4004004,1.3825133,0.235304958,1.065953156,0.217115351,0.965201746,0.057436034,-15.8393931381817
0.500500501,1.37365448,0.219330582,1.10218294,0.264852864,0.950800138,0.065983688,-15.8349664497831
0.600600601,1.373065708,0.21775333,1.124313566,0.305432735,0.954581222,0.052326812,-15.8305397614287
0.700700701,1.372717877,0.201858845,1.115223193,0.301335458,0.941513038,0.057495282,-15.8261130730743
0.800800801,1.377183598,0.206670109,1.038541127,0.183219299,0.934444954,0.06222405,-15.8216863847199
0.900900901,1.369710381,0.165938666,0.967251453,0.118437333,0.935689307,0.05045719,-15.8172596963655
1.001001001,1.38295488,0.147829716,0.91398547,0.112204384,0.9298736,0.046254335,-15.8128330080111
1.101101101,1.372345959,0.139764221,0.86705282,0.155837874,0.928087923,0.062985753,-15.8084063196568
1.201201201,1.362549309,0.118243576,0.827647811,0.183677417,0.926315769,0.04888905,-15.8039796313024
1.301301301,1.358011407,0.152466288,0.791588178,0.217238385,0.927890341,0.057236728,-15.8131739586752
1.401401401,1.335961642,0.139470128,0.778444998,0.220883342,0.921517142,0.064489121,-15.8759146867214
1.501501502,1.329110064,0.143389631,0.779611999,0.206168962,0.914694323,0.074204798,-15.9386554153944
1.601601602,1.307773001,0.152506341,0.797445667,0.180233084,0.913219141,0.07307224,-16.0013961434406
1.701701702,1.297237752,0.163759181,0.825279335,0.147633928,0.903428975,0.068263092,-16.0641368714869
1.801801802,1.272304974,0.166030302,0.866466261,0.125393742,0.904308037,0.047514093,-16.1268775995331
1.901901902,1.274000987,0.176006127,0.916626502,0.164899153,0.895261413,0.054706528,-16.1896183275793
2.002002002,1.262019829,0.162685451,0.968416706,0.236731867,0.881193719,0.042851613,-16.2523590556256
2.102102102,1.235662052,0.176683671,0.974934738,0.255082366,0.879925433,0.046773376,-16.3150997836718
2.202202202,1.25067554,0.173091138,0.970066403,0.255475459,0.884580353,0.034742723,-16.3586024099622
2.302302302,1.252336916,0.177765021,0.965607626,0.257058946,0.864235273,0.030806515,-16.3576194646214
2.402402402,1.246492301,0.189873359,0.948305641,0.239963522,0.867345975,0.041474253,-16.3566365192805
2.502502503,1.259981019,0.186515567,0.92776153,0.217914785,0.878479118,0.041456508,-16.3556535739299
2.602602603,1.259366968,0.208302334,0.906260463,0.21459251,0.874590615,0.041173489,-16.3546706285891
2.702702703,1.265974842,0.189020801,0.884738374,0.20650127,0.882566976,0.047899921,-16.3536876832482
2.802802803,1.261079351,0.203371058,0.871593088,0.202538349,0.877400634,0.083073973,-16.3527047379074
2.902902903,1.246995728,0.203383845,0.866105018,0.203695359,0.884623665,0.071935075,-16.3517217925666
3.003003003,1.25209586,0.220139756,0.860657438,0.210025013,0.895668869,0.091699041,-16.3507388472258
3.103103103,1.256754884,0.247704733,0.871002244,0.21204892,0.878156862,0.106555175,-16.3353265107609
3.203203203,1.266281441,0.25927326,0.858067104,0.20978708,0.880014564,0.116915866,-16.2981882442893
3.303303303,1.266602877,0.26958673,0.864278444,0.2074695,0.879538933,0.127027969,-16.2610499778177
3.403403403,1.281468768,0.281657371,0.870800863,0.205792698,0.876396635,0.139930099,-16.223911711346
3.503503504,1.287641395,0.303744393,0.87192601,0.213212464,0.876801537,0.136122049,-16.1867734445034
3.603603604,1.304146427,0.315513461,0.882364862,0.201485561,0.882077404,0.145974088,-16.1496351780317
3.703703704,1.296392199,0.315935528,0.89644035,0.226340167,0.886227593,0.17236729,-16.1124969115601
3.803803804,1.279426264,0.326516055,0.89535134,0.241897302,0.893356049,0.180235498,-16.0753586450884
3.903903904,1.295507634,0.335868937,0.902621356,0.241765445,0.897438459,0.190389459,-16.0382203786168
4.004004004,1.27583712,0.339780224,0.911711859,0.243026387,0.894877226,0.221353877,-16.0070497303897
4.104104104,1.30893676,0.351951425,0.911371397,0.238238235,0.884982658,0.206560239,-15.9819622593541
4.204204204,1.312904267,0.353896838,0.924923929,0.242840845,0.89393841,0.209278057,-15.9568747883184
4.304304304,1.329905475,0.369201356,0.922000985,0.224155455,0.873895596,0.21686452,-15.9317873172828
4.404404404,1.319752181,0.367993804,0.929135766,0.231145885,0.873486415,0.198406891,-15.9066998462471
4.504504505,1.32769052,0.380291603,0.92429724,0.219988085,0.879515674,0.170998795,-15.8816123749608
4.604604605,1.345560698,0.362685935,0.913853384,0.20595106,0.885264317,0.166090885,-15.8565249039252
4.704704705,1.349183916,0.37542076,0.929672101,0.201154296,0.891414828,0.1701186,-15.8314374328895
4.804804805,1.371448109,0.372594557,0.923948539,0.227268128,0.893308038,0.176040232,-15.8063499618539
4.904904905,1.382737682,0.36726576,0.936261796,0.236785366,0.894312408,0.18630634,-15.8067321730144
5.005005005,1.392554741,0.358811618,0.938908386,0.241639198,0.911945764,0.208679332,-15.8246912435826
5.105105105,1.407719799,0.330649483,0.950236657,0.256753772,0.912678554,0.250961887,-15.8426503141508
5.205205205,1.425626398,0.331310158,0.962357537,0.259913449,0.940744677,0.303420628,-15.8606093847191
5.305305305,1.429172321,0.341447695,0.966621683,0.274866469,0.948256521,0.340325028,-15.8785684552873
5.405405405,1.443699225,0.323359279,0.969213739,0.28978864,0.949417077,0.366554084,-15.8965275258555
5.505505506,1.450493499,0.337193472,0.971768771,0.277891071,0.941950806,0.399439303,-15.9144865966032
5.605605606,1.448214706,0.349780086,0.955366208,0.284666849,0.943401009,0.407348679,-15.9324456671714
5.705705706,1.448984917,0.343414223,0.972537219,0.27443339,0.936757316,0.421164907,-15.9504047377396
5.805805806,1.450876726,0.334502767,0.981608896,0.279930904,0.937806315,0.413623613,-16.10039694298
5.905905906,1.455414929,0.334508743,1.018768202,0.333344834,0.946845956,0.398646803,-16.3098635510297
6.006006006,1.447635445,0.310897939,1.051042358,0.390014128,0.933934534,0.4035087,-16.5193301590793
6.106106106,1.450057833,0.279560714,1.073287794,0.39331017,0.93076581,0.396931258,-16.7287967671289
6.206206206,1.446188929,0.254228055,1.103113323,0.411750171,0.947100255,0.409451232,-16.9382633751785
6.306306306,1.449486588,0.238428025,1.112100977,0.428859845,0.964147423,0.426809764,-17.1477299832281
6.406406406,1.446311782,0.217141696,1.127377974,0.427803474,0.959820853,0.429865439,-17.3571965912777
6.506506507,1.430283442,0.169485296,1.136575743,0.432607836,0.949465724,0.451076336,-17.5666632014198
6.606606607,1.446394921,0.154788659,1.134440178,0.429873096,0.935655389,0.453195892,-17.7761298094695
6.706706707,1.453837735,0.132954452,1.150304614,0.443545086,0.925263591,0.475045079,-18.0190090144371
6.806806807,1.44797411,0.120773844,1.153014607,0.455431478,0.9068882,0.463679234,-18.2706128435424
6.906906907,1.46322449,0.102473211,1.168360032,0.469235404,0.906512809,0.45532854,-18.5222166726477
7.007007007,1.474095491,0.087147535,1.164921275,0.502913065,0.882541757,0.471652154,-18.773820501753
7.107107107,1.487897764,0.070842492,1.185303941,0.54588136,0.883040558,0.478775559,-19.0254243308583
7.207207207,1.484193526,0.090018315,1.214065654,0.566024897,0.902861,0.470140188,-19.2770281599636
7.307307307,1.492667419,0.059733852,1.227822361,0.599083683,0.908231522,0.488978125,-19.528631989069
7.407407407,1.495581547,0.077710145,1.229579068,0.611831399,0.922602044,0.50257098,-19.7802358181743
7.507507508,1.46895552,0.077475425,1.220133353,0.631087044,0.946622215,0.514508593,-20.0318396497931
7.607607608,1.473026603,0.083877726,1.22805933,0.621782469,0.955541285,0.536411266,-20.7673678257363
7.707707708,1.467659829,0.088170073,1.218222691,0.640427816,0.984483588,0.551546562,-21.4927407825963
7.807807808,1.463250347,0.086048914,1.212339338,0.628706411,1.014219095,0.549415989,-21.116796022022
7.907907908,1.459616784,0.105535008,1.213812676,0.632619303,1.009734139,0.568379975,-20.7408512614478
8.008008008,1.459543106,0.088510388,1.208473222,0.630472522,1.01088482,0.556235935,-20.3649065008735
8.108108108,1.454003228,0.108479943,1.196477569,0.617090518,1.0040355,0.551669391,-19.9889617402992
8.208208208,1.45716984,0.08967778,1.188272499,0.598143335,0.990852846,0.536134475,-19.613016979725
8.308308308,1.455276005,0.092062894,1.174321896,0.572601048,0.988076224,0.525057615,-19.2370722191507
8.408408408,1.478240028,0.066138575,1.185710966,0.585196714,0.99320402,0.516093556,-18.8611274585764
8.508508509,1.488787456,0.049372254,1.195416685,0.584573753,1.006744968,0.529700601,-18.6103153319556
8.608608609,1.484156686,0.066821302,1.205268048,0.581845805,1.010624256,0.564972043,-18.3606528573996
8.708708709,1.480214165,0.081777033,1.221207371,0.593267679,1.054828868,0.603114114,-18.1109903828436
