GaitPhase,pMMGMean_4,pMMGStd_4,pMMGMean_4_1,pMMGStd_4_1,pMMGMean_4_2,pMMGStd_4_2,NewColumn
0,0.173295041,0.468893725,-0.487996799,0.316608979,-1.09743738,0.165795712,-15.8570998915992
0.1001001,0.165091113,0.476085854,-0.457757154,0.357243431,-1.05597556,0.119216787,-15.8526732032449
0.2002002,0.175618555,0.478326016,-0.40037013,0.427884264,-1.047682394,0.090278895,-15.8482465148905
0.3003003,0.168872724,0.492179965,-0.359998788,0.50162187,-1.017206378,0.072108559,-15.8438198265361
0.4004004,0.175732499,0.489667066,-0.304786271,0.580570364,-1.006063695,0.068149642,-15.8393931381817
0.500500501,0.174025707,0.50936595,-0.255573755,0.626990288,-1.001921012,0.088649633,-15.8349664497831
0.600600601,0.181205773,0.512880663,-0.211079451,0.697535727,-1.00862883,0.081708782,-15.8305397614287
0.700700701,0.183019347,0.534043436,-0.176205427,0.749949031,-1.011454766,0.066552563,-15.8261130730743
0.800800801,0.192322473,0.559610282,-0.166534944,0.731665852,-1.02213392,0.080204511,-15.8216863847199
0.900900901,0.198722695,0.582488713,-0.193208806,0.702758275,-1.0355212,0.088407764,-15.8172596963655
1.001001001,0.215176972,0.611993555,-0.23399478,0.623410015,-1.051694934,0.085603794,-15.8128330080111
1.101101101,0.238611427,0.611984575,-0.275114087,0.518273382,-1.053566032,0.131970217,-15.8084063196568
1.201201201,0.260463783,0.63925556,-0.340849243,0.410319537,-1.081581037,0.123473393,-15.8039796313024
1.301301301,0.264612103,0.643134126,-0.408949934,0.299149609,-1.071795942,0.127132653,-15.8131739586752
1.401401401,0.277409116,0.660897151,-0.478087083,0.224567218,-1.073865705,0.141226137,-15.8759146867214
1.501501502,0.288762743,0.676206079,-0.506174517,0.227539468,-1.077567198,0.13291631,-15.9386554153944
1.601601602,0.297116369,0.713144369,-0.51726195,0.218600196,-1.062392215,0.118230771,-16.0013961434406
1.701701702,0.317106561,0.709747017,-0.52260931,0.234187255,-1.05866835,0.091415988,-16.0641368714869
1.801801802,0.310236643,0.72637156,-0.509000079,0.231197335,-1.048031942,0.096122085,-16.1268775995331
1.901901902,0.310330681,0.733290771,-0.501583264,0.238714703,-1.038376272,0.083834595,-16.1896183275793
2.002002002,0.323607459,0.727660268,-0.478169119,0.246978386,-1.016086075,0.064309338,-16.2523590556256
2.102102102,0.332957604,0.722795245,-0.465752589,0.250328649,-1.01983606,0.08599281,-16.3150997836718
2.202202202,0.332489312,0.725335447,-0.441665632,0.285523747,-1.012874264,0.061299979,-16.3586024099622
2.302302302,0.341841918,0.710823039,-0.411999939,0.308979011,-1.027206762,0.072779359,-16.3576194646214
2.402402402,0.354763693,0.733084577,-0.371461968,0.359696932,-1.031152044,0.108268962,-16.3566365192805
2.502502503,0.366018802,0.729702788,-0.331604998,0.416019781,-1.047951011,0.120299319,-16.3556535739299
2.602602603,0.394188492,0.723705336,-0.300481427,0.449313216,-1.058111995,0.128198651,-16.3546706285891
2.702702703,0.415109022,0.710759345,-0.290120286,0.490850549,-1.078813519,0.147394881,-16.3536876832482
2.802802803,0.419855003,0.693784446,-0.272693931,0.502909081,-1.06873879,0.172960438,-16.3527047379074
2.902902903,0.437018351,0.690140288,-0.268926776,0.505047558,-1.090661061,0.158441487,-16.3517217925666
3.003003003,0.470130633,0.671264348,-0.276786355,0.502153281,-1.074351602,0.185365843,-16.3507388472258
3.103103103,0.493830503,0.633996154,-0.27972683,0.506841805,-1.0798971,0.185054891,-16.3353265107609
3.203203203,0.51543728,0.614623989,-0.269848821,0.517247956,-1.095727729,0.200949904,-16.2981882442893
3.303303303,0.519261074,0.587311252,-0.265720895,0.537517458,-1.085558358,0.192696348,-16.2610499778177
3.403403403,0.517015985,0.543099271,-0.254637882,0.57508991,-1.08472232,0.183214171,-16.223911711346
3.503503504,0.525402319,0.525463618,-0.255206088,0.592617696,-1.080296275,0.183154799,-16.1867734445034
3.603603604,0.530787424,0.514383602,-0.245255636,0.605403099,-1.074654428,0.17958797,-16.1496351780317
3.703703704,0.536086108,0.488745453,-0.256434314,0.619758707,-1.066647562,0.164166547,-16.1124969115601
3.803803804,0.526922467,0.43689688,-0.261067779,0.617767737,-1.055873176,0.147842065,-16.0753586450884
3.903903904,0.521693353,0.41803956,-0.27166254,0.614399225,-1.048752444,0.138686827,-16.0382203786168
4.004004004,0.511999343,0.382818576,-0.246276653,0.652626241,-1.017138218,0.15078434,-16.0070497303897
