GaitPhase,pMMGMean_1,pMMGMean_2,pMMGMean_3,pMMGMean_4,pMMGMean_5,NewColumn,,
5.705705706,-1.639292301,-1.67750813,1.350473465,1.353622361,-0.874033878,-15.95040474,,
5.805805806,-1.658819304,-1.658364738,1.325187689,1.368057453,-0.866272984,-16.10039694,,
5.905905906,-1.668144105,-1.64799961,1.318520031,1.409166241,-0.861887466,-16.30986355,,
6.006006006,-1.687322259,-1.634460842,1.286089111,1.447267719,-0.870372818,-16.51933016,,
6.106106106,-1.700863563,-1.621480633,1.275114087,1.495418745,-0.871533461,-16.72879677,,
6.206206206,-1.720302559,-1.599991414,1.263796881,1.522673375,-0.888099916,-16.93826338,,
6.306306306,-1.734369682,-1.559763457,1.24368588,1.555896475,-0.875373079,-17.14772998,,
6.406406406,-1.746048417,-1.546503968,1.226910215,1.597439393,-0.875314909,-17.35719659,,
6.506506507,-1.756328254,-1.527197588,1.187128043,1.603454175,-0.896253737,-17.5666632,,
6.606606607,-1.768096579,-1.548105804,1.181373899,1.639115615,-0.906988361,-17.77612981,,
6.706706707,-1.790444835,-1.53951402,1.169325831,1.655777055,-0.903911353,-18.01900901,,
6.806806807,-1.793634494,-1.516669984,1.147460286,1.706884441,-0.904097561,-18.27061284,,
6.906906907,-1.824325853,-1.492330453,1.13829929,1.735599936,-0.894871499,-18.52221667,,
7.007007007,-1.826819515,-1.503238669,1.115518175,1.742761376,-0.913002794,-18.7738205,,
7.107107107,-1.84768555,-1.500130617,1.104464286,1.760929524,-0.902535491,-19.02542433,,
7.207207207,-1.861473895,-1.499647009,1.092731539,1.774247435,-0.907476027,-19.27702816,,
7.307307307,-1.859905518,-1.503687671,1.065861615,1.765369504,-0.900911291,-19.52863199,,
7.407407407,-1.883431236,-1.473094698,1.021263964,1.774759842,-0.876094304,-19.78023582,,
7.507507508,-1.893128817,-1.465377102,1.000141871,1.787714244,-0.867241301,-20.03183965,,
7.607607608,-1.887827801,-1.445159506,0.978518742,1.804668646,-0.856387754,-20.76736783,,
7.707707708,-1.918526784,-1.453441909,0.947895612,1.813623047,-0.857534207,-21.49274078,,
7.807807808,-1.930725768,-1.435640697,0.936772483,1.818599208,-0.85668066,-21.11679602,,
7.907907908,-1.950541912,-1.415614419,0.915062875,1.847633935,-0.825781636,-20.74085126,,
8.008008008,-1.983865653,-1.395164015,0.885847658,1.857279029,-0.832879664,-20.3649065,,
8.108108108,-2.015986046,-1.355213611,0.851118122,1.860424124,-0.799479365,-19.98896174,,
8.208208208,-2.055527712,-1.334763207,0.81367519,1.877569218,-0.793141174,-19.61301698,,
8.308308308,-2.087602912,-1.294812803,0.80074377,1.915714313,-0.76845864,-19.23707222,,
8.408408408,-2.097128569,-1.292315983,0.760248578,1.942871486,-0.77167237,-18.86112746,,
8.508508509,-2.111481781,-1.253231221,0.767642546,1.969681654,-0.760564881,-18.61031533,,
8.608608609,-2.143834992,-1.246777064,0.756036513,2.001878971,-0.749457392,-18.36065286,,
8.708708709,-2.154188204,-1.25073248,0.753930481,1.996611904,-0.728349903,-18.11099038,,
8.808808809,-2.168415522,-1.247551761,0.763917374,2.020885377,-0.701427417,-18.04346068,,
8.908908909,-2.173091591,-1.237324995,0.771531684,2.038333025,-0.686662961,-18.49850898,,
9.009009009,-2.162875443,-1.222553684,0.777387259,2.054884276,-0.687171984,-18.95355728,,
9.109109109,-2.178181508,-1.218956995,0.7745779,2.042709136,-0.65369464,-19.40860558,,
9.209209209,-2.191487573,-1.17745636,0.771768541,2.068482575,-0.630217296,-19.86365388,,
9.309309309,-2.205293637,-1.155111812,0.768959182,2.07829894,-0.610739952,-20.35410148,,
9.409409409,-2.199099702,-1.142254073,0.768149823,2.074659045,-0.597262608,-20.88038223,,
9.50950951,-2.221555749,-1.136477414,0.745360694,2.076519149,-0.59753297,-21.40666298,,
9.60960961,-2.239606901,-1.109200755,0.720001367,2.084379253,-0.585766417,-21.93294373,,
9.70970971,-2.199952036,-1.097940804,0.740348829,2.089735009,-0.563374818,-22.21547224,,
