GaitPhase,pMMGMean_1,pMMGMean_2,pMMGMean_3,pMMGMean_4,pMMGMean_5,pMMGStd_1,pMMGStd_2,pMMGStd_3,pMMGStd_4,pMMGStd_5,ThetaMean_1,ThetaMean_2,ThetaMean_3,ThetaMean_4,ThetaMean_5
0,-1.370166942,2.28426151,1.44762120066667,6.57210263533333,-0.528533559333333,0.0769443677360222,6.11119941413841,0.369088063526535,8.97707671704232,0.394026398531249,171.475814766667,172.683988266667,171.475814766667,172.683988266667,171.475814766667
0.1001001001001,-1.37650956379847,2.27872706644912,1.43370149403804,6.57205030051351,-0.526891872362029,0.0787618128591338,6.11593564935076,0.391716777608459,8.97710327532594,0.393300176974979,171.455125341074,172.678013955923,171.455125341074,172.678013955923,171.455125341074
0.2002002002002,-1.36559127107374,2.2771101255649,1.4317955142696,6.57197650091258,-0.52156404411378,0.0853069927833026,6.1172457073071,0.390685487579657,8.97714216546112,0.378056908293876,171.428091946947,172.669588945212,171.428091946947,172.669588945212,171.428091946947
0.3003003003003,-1.37303734265666,2.29649318468068,1.4245144926987,6.57223603454054,-0.53425823723023,0.0911854253019747,6.15145924306539,0.405965295968485,8.99754798019256,0.370743736021189,171.401058499299,172.661163950651,171.401058499299,172.661163950651,171.401058499299
0.4004004004004,-1.36655815554321,2.2898762441298,1.41840297391558,6.56549556505405,-0.533683161114781,0.101316645467258,6.15712837109901,0.419490149881895,9.00326113380873,0.367767641072145,171.374025099066,172.652738934134,171.374025099066,172.652738934134,171.374025099066
0.500500500500501,-1.38458447372239,2.28292596957891,1.42212662374541,6.55275509885285,-0.534824468066733,0.117316979629948,6.16301613910556,0.424513891515274,9.01430741527479,0.365351598641244,171.346991694161,172.644313905806,171.346991694161,172.644313905806,171.346991694161
0.600600600600601,-1.37738756901502,2.28230897003904,1.41731907567668,6.55268128043243,-0.555199675771772,0.12673096016707,6.1799448429343,0.421745000258472,9.01434629386311,0.345550341020396,171.319958246446,172.635887149449,171.319958246446,172.635887149449,171.319958246446
0.700700700700701,-1.38529453221622,2.27747460394228,1.42288975978612,6.54790171688655,-0.562368002188522,0.128559226774474,6.18403903130804,0.409322624733053,9.0183873514364,0.33290205533191,171.297110840807,172.624294047781,171.297110840807,172.624294047781,171.297110840807
0.800800800800801,-1.37899118176543,2.27404210950217,1.42819371247714,6.5348454640327,-0.558834115552219,0.128624300426374,6.18685964965254,0.399895664191108,9.02971964998008,0.323322358603717,171.280027605672,172.602673906974,171.280027605672,172.602673906974,171.280027605672
0.900900900900901,-1.38174288624324,2.2724309914054,1.43190640746847,6.5259398478979,-0.565360956426426,0.130197889006365,6.18808696804798,0.399742794538752,9.0339199110196,0.311956320549655,171.262944342943,172.578671527327,171.262944342943,172.578671527327,171.262944342943
1.001001001001,-1.40275418369236,2.2655749617304,1.44877323125526,6.52063649891458,-0.570439682177177,0.130283713047977,6.19393046862166,0.399569197096186,9.03841060778573,0.303063300194497,171.245861101335,172.554669159993,171.245861101335,172.554669159993,171.245861101335
1.1011011011011,-1.3957665058355,2.25810031364064,1.43102882769203,6.53509291066733,-0.56924947252319,0.145486762318852,6.21759990743803,0.384889616930955,9.04673426693649,0.302716764282477,171.228777855856,172.530666822089,171.228777855856,172.530666822089,171.228777855856
1.2012012012012,-1.3988201593043,2.26383455979279,1.43260805596296,6.52518360886286,-0.5779304675005,0.144539894037702,6.22950690577272,0.387680328396943,9.05076011381851,0.308946372467749,171.211694608509,172.502967785686,171.211694608509,172.502967785686,171.211694608509
1.3013013013013,-1.4109371342666,2.25603385164798,1.43409205557491,6.51846843165165,-0.584223667955622,0.152294346969105,6.23437678994704,0.384226107499218,9.05604814038289,0.283813682272152,171.186636326059,172.459377110544,171.186636326059,172.459377110544,171.186636326059
1.4014014014014,-1.40136144729096,2.25470689252853,1.43146583627561,6.51678979390691,-0.588877117299299,0.160572578408316,6.23367248027109,0.389422393182261,9.05700327136142,0.286570966102584,171.141018530364,172.419957729696,171.141018530364,172.419957729696,171.141018530364
1.5015015015015,-1.41320483686086,2.25973089382783,1.4301036560991,6.51644907624725,-0.594827461112112,0.152118782611438,6.24392246916493,0.390097151647403,9.05681514176553,0.274855070266153,171.092955799499,172.381061935536,171.092955799499,172.381061935536,171.092955799499
1.6016016016016,-1.43204628742509,2.25844361910077,1.42207480992426,6.51611409822556,-0.595444471658992,0.185805277451686,6.2604847313363,0.382539646403481,9.05662210718904,0.282901069868792,171.044893101368,172.342821440307,171.044893101368,172.342821440307,171.044893101368
1.7017017017017,-1.43289174197097,2.25848967742876,1.42104596342342,6.50377912051685,-0.601394815171505,0.183578393739376,6.25859345992224,0.388939079333897,9.06680629052654,0.252829663867864,170.996830361328,172.304580895829,170.996830361328,172.304580895829,170.996830361328
1.8018018018018,-1.44873719656156,2.25547967487688,1.41268378345646,6.51142955641441,-0.606011825867868,0.199992510529637,6.27567253043792,0.395099843338966,9.08044405146197,0.244606600511347,170.948767639039,172.264675006006,170.948767639039,172.264675006006,170.948767639039
1.9019019019019,-1.44244866508008,2.24723405094728,1.4056665446967,6.50468534327294,-0.605476895402069,0.192726189265452,6.28018131313853,0.374429335709899,9.0855403022618,0.228788191897148,170.912875692459,172.217769578245,170.912875692459,172.217769578245,170.912875692459
2.002002002002,-1.45336713364364,2.24052807849516,1.41061739929763,6.49157474390023,-0.632891146422089,0.194282311005762,6.28340213614916,0.363962015856295,9.0962142779647,0.240707842785047,170.873573991792,172.167091009076,170.873573991792,172.167091009076,170.873573991792
