GaitPhase,pMMGMean_1,pMMGMean_2,pMMGMean_3,pMMGMean_4,pMMGMean_5,pMMGStd_1,pMMGStd_2,pMMGStd_3,pMMGStd_4,pMMGStd_5,ThetaMean_1,ThetaMean_2,ThetaMean_3,ThetaMean_4,ThetaMean_5
0,-1.360289953,-1.244038572,1.6539543575,1.389543653,-0.7541127255,0.106092139116693,0.0103801196584248,0.13042916707041,0.149355733546753,0.0720960763725877,174.19853305,176.12103615,174.19853305,176.12103615,174.19853305
0.1001001001001,-1.3496933814024,-1.25229886672923,1.65352542706206,1.38947591845796,-0.751887165404404,0.089956659008219,0.0217460187399308,0.130187167336132,0.14934215246957,0.0750517626025645,174.183398795796,176.113303665666,174.183398795796,176.113303665666,174.183398795796
0.2002002002002,-1.34199307002002,-1.25466901845846,1.65127384191441,1.38937959674424,-0.736214824893393,0.1058929434742,0.0246283207755509,0.127459336951553,0.149328132743402,0.096975799463902,174.164279438789,176.102307731381,174.164279438789,176.102307731381,174.164279438789
0.3003003003003,-1.3428393045991,-1.25503917068769,1.6504596937042,1.37778327487387,-0.745575516929429,0.10563159830207,0.0246821963935318,0.152670363584587,0.133050656828398,0.0834977808153027,174.145160037387,176.091311821321,174.145160037387,176.091311821321,174.145160037387
0.4004004004004,-1.33229765163363,-1.26490932191692,1.65189979989339,1.36768695333183,-0.743032305117618,0.11613540600802,0.0381711008540569,0.157541630198486,0.11889450172128,0.0868544245920656,174.126040683183,176.080315862663,174.126040683183,176.080315862663,174.126040683183
0.500500500500501,-1.34097621856907,-1.27527947414615,1.65995652290891,1.34859063171772,-0.742747351090591,0.126950651490588,0.0240828408483067,0.145071439512292,0.124537336589311,0.0870174094633381,174.106921321972,176.069319885536,174.106921321972,176.069319885536,174.106921321972
0.600600600600601,-1.3330416728964,-1.28564962587538,1.65249773005405,1.34849430974775,-0.752462397842342,0.142555678646467,0.0382788513829117,0.15454350079351,0.124523316296892,0.0730382587859081,174.087801924775,176.058323943994,174.087801924775,176.058323943994,174.087801924775
0.700700700700701,-1.34527128167618,-1.29282920584284,1.65038500957858,1.34134369094545,-0.752235729447447,0.153113637782389,0.0475575071439261,0.156733819477196,0.11463845840624,0.073137088823675,174.072593259309,176.043072228128,174.072593259309,176.043072228128,174.072593259309
0.800800800800801,-1.32939199017217,-1.29790597851201,1.65005614944695,1.32177803818118,-0.742062793327828,0.135380731568857,0.0398219561102994,0.156510187683151,0.123458477342042,0.0873968248264972,174.060989874925,176.012779953554,174.060989874925,176.012779953554,174.060989874925
0.900900900900901,-1.332120306,-1.30025068681532,1.65520476679279,1.31043834072072,-0.741889857382883,0.138306101757822,0.0226804957264266,0.142883378703372,0.121169671238952,0.0875144252360245,174.049386490541,175.978914370721,174.049386490541,175.978914370721,174.049386490541
1.001001001001,-1.35359887218869,-1.31046276248599,1.67090239514965,1.30250204712062,-0.741716921424925,0.139464059445428,0.0356997216692212,0.152521781466272,0.110316308281283,0.0876320246461175,174.037783092142,175.945048756356,174.037783092142,175.945048756356,174.037783092142
1.1011011011011,-1.34257897541842,-1.33160276577878,1.64468318266567,1.31220539268268,-0.74014058185986,0.159246085254348,0.0358891012306044,0.14963600518358,0.124409163676326,0.089734337092326,174.026179706356,175.911183186136,174.026179706356,175.911183186136,174.026179706356
1.2012012012012,-1.3466210757012,-1.33274276968318,1.64744941762913,1.29990873874474,-0.751371049241742,0.159483842325289,0.0360784802427233,0.153789498849853,0.107389319992054,0.102009361107306,174.014576330931,175.877317533333,174.014576330931,175.877317533333,174.014576330931
1.3013013013013,-1.35423657007207,-1.34337318193143,1.6500887447988,1.29011458014014,-0.74102820432983,0.164612916739925,0.022846395232395,0.123822392296018,0.0995583355289643,0.116509384706018,173.991572604504,175.843736884434,173.991572604504,175.843736884434,173.991572604504
1.4014014014014,-1.33830746256256,-1.34429297064164,1.64730501032733,1.28787523103554,-0.748616065281281,0.166470045151124,0.0233472050732231,0.154208645320651,0.0965995861959334,0.105577688038688,173.963919554454,175.81641312998,173.963919554454,175.81641312998,173.963919554454
1.5015015015015,-1.35450696972072,-1.34518631872372,1.64641733498499,1.28764276205856,-0.748149268087087,0.160023780750121,0.0238106233148516,0.153629194517047,0.0964789947601125,0.100225547329984,173.932599101652,175.789874805556,173.932599101652,175.789874805556,173.932599101652
1.6016016016016,-1.35220356828178,-1.35604658084535,1.63552966023123,1.28741890253854,-0.749682470668669,0.175493713439004,0.0100851153187423,0.138907607507888,0.0963705787439749,0.13164295892588,173.901278697948,175.76431937953,173.901278697948,175.76431937953,173.901278697948
1.7017017017017,-1.36140617314314,-1.35490684338438,1.63514198531632,1.26919504348799,-0.739215673198699,0.191679247682242,0.0133301693746203,0.16590532036082,0.093433735655469,0.117805536452932,173.869958231381,175.73876392963,173.869958231381,175.73876392963,173.869958231381
1.8018018018018,-1.36460877765766,-1.36776710551351,1.63375431013514,1.26897118385586,-0.738748876004505,0.19372264537805,0.0250605053844366,0.137748705318856,0.0933253202834427,0.118110249993721,173.838637791441,175.713208512162,173.838637791441,175.713208512162,173.838637791441
1.9019019019019,-1.36311040356406,-1.37862736784284,1.61438404657107,1.25924732501451,-0.726554167067067,0.191100522278887,0.011334997325332,0.137900983855211,0.0797818757730055,0.129343879716413,173.825573515065,175.687653028228,173.825573515065,175.687653028228,173.825573515065
2.002002002002,-1.3696264771026,-1.38717815245596,1.61318444701401,1.23997388727678,-0.758398144886386,0.182801114307139,0.0277456417869935,0.136880404182511,0.0797435738385901,0.146179653766721,173.815104921121,175.656437856006,173.815104921121,175.656437856006,173.815104921121
