GaitPhase,pMMGMean_1,pMMGMean_2,pMMGStd_1,pMMGStd_2,ThetaMean_1,ThetaMean_2
8.40840840840841,-1.29231598305556,1.94287148557658,0.143483088618098,0.0795879045263238,162.744838040541,162.744838040541
8.50850850850851,-1.2532312212993,1.96968165417868,0.156844862587552,0.0392926677434624,162.494850144595,162.494850144595
8.60860860860861,-1.2467770642963,2.00187897128128,0.138571533881863,0.0465331818161863,162.24414938974,162.24414938974
8.70870870870871,-1.25073248004655,1.99661190367117,0.13501956555655,0.0176608817890554,161.989801017267,161.989801017267
8.80880880880881,-1.24755176066066,2.02088537707958,0.15171109467061,0.0399423420123333,161.735452682983,161.735452682983
8.90890890890891,-1.23732499472873,2.03833302470621,0.157253127564801,0.0685389252327385,161.48110431041,161.48110431041
9.00900900900901,-1.22255368375225,2.05488427568919,0.136645658739516,0.0407134826041791,161.226755986937,161.226755986937
9.10910910910911,-1.21895699540641,2.0427091355055,0.156803430944729,0.0274171170623809,160.984615995445,160.984615995445
9.20920920920921,-1.17745635954254,2.06848257507357,0.141470023953682,0.0142362385939172,160.747918995395,160.747918995395
9.30930930930931,-1.15511181228529,2.07829894024775,0.167000073562186,0.0232832395857843,160.51046573033,160.51046573033
9.40940940940941,-1.14225407277427,2.0746590447988,0.117539035521772,0.0794752164944851,160.266178431732,160.266178431732
9.50950950950951,-1.13647741361762,2.07651914884985,0.107561311535088,0.0783915448341826,160.021891173574,160.021891173574
9.60960960960961,-1.10920075496096,2.0843792534009,0.112432829246215,0.0914500080905046,159.777603908559,159.777603908559
9.70970970970971,-1.09794080405205,2.08973500939339,0.0607121775531703,0.10097908581717,159.532820292693,159.532820292693
9.80980980980981,-1.09680728391341,2.1050578658003,0.0512391312070873,0.075199352938854,159.284280851301,159.284280851301
9.90990990990991,-1.09317376377477,2.09288072240541,0.0438874052045637,0.0883104927455025,159.035741412162,159.035741412162
10.01001001001,-1.08354024371972,2.11487475018168,0.0450209606944839,0.0856232107742899,158.787201993093,158.787201993093
10.1101101101101,-1.08168530645796,2.13824173347397,0.0422739994049938,0.0896298497246585,158.524216497648,158.524216497648
10.2102102102102,-1.08235128504354,2.14917385585736,0.0544695633090286,0.0920404700359337,158.258097027327,158.258097027327
10.3103103103103,-1.0894877335996,2.15173761037237,0.0566920188513834,0.0977141163408725,157.991977507007,157.991977507007
10.4104104104104,-1.07873508774975,2.15928487796547,0.066234985002486,0.0824951573690276,157.711977228128,157.711977228128
10.5105105105105,-1.05132892218318,2.18578834901802,0.0673066359848242,0.0956224058920479,157.426977344745,157.426977344745
10.6106106106106,-1.03142275709109,2.21429182064264,0.0577716845061591,0.0776369566480422,157.141977411361,157.141977411361
10.7107107107107,-1.03151659176176,2.22179529262312,0.0751067917912921,0.0907642052729879,156.856977443744,156.856977443744
10.8108108108108,-1.0206153447973,2.24792759509459,0.0783067190709908,0.103366542154717,156.586684695946,156.586684695946
10.9109109109109,-1.00955592954505,2.26510105649399,0.0812829626129629,0.130169222174265,156.32109056952,156.32109056952
11.011011011011,-1.01921856726126,2.2627167349024,0.11152234095141,0.129476454567298,156.048900034585,156.048900034585
11.1111111111111,-0.998787025,2.25822681011111,0.12775277426758,0.126104606098505,155.764653966667,155.764653966667
11.2112112112112,-0.989355482238739,2.26573688537788,0.129841071252911,0.117075903462325,155.480407892943,155.480407892943
11.3113113113113,-0.968923939977477,2.25524696064464,0.117787233321619,0.127846190699369,155.196161814164,155.196161814164
11.4114114114114,-0.978492397716216,2.20225703566817,0.0647212020815067,0.143566225748717,154.911915745495,154.911915745495
11.5115115115115,-0.958486601123123,2.19228643366316,0.0249851882007974,0.153656732426824,154.629875493393,154.629875493393
11.6116116116116,-0.932305425094595,2.18114216816066,0.0234841310303048,0.140874224833511,154.348807779379,154.348807779379
11.7117117117117,-0.928800072418918,2.16952587063063,0.0938633515202486,0.183300632828006,154.044764377477,154.044764377477
11.8118118118118,-0.902619565897897,2.17105759676977,0.182394507241893,0.20000523445163,153.734193185485,153.734193185485
11.9119119119119,-0.924785905930931,2.16071995322422,0.198424922146221,0.210638910733154,153.423622038589,153.423622038589
12.012012012012,-0.912046840558559,2.1631751021021,0.248530239506106,0.230050902739723,153.113050851802,153.113050851802
12.1121121121121,-0.905384351762763,2.16677890031331,0.252074804940834,0.249252674257269,152.802479683483,152.802479683483
12.2122122122122,-0.892479754435435,2.15169979624274,0.271428928091455,0.260353904980657,152.46845749995,152.46845749995
12.3123123123123,-0.877564781944445,2.14114720428228,0.256522599790322,0.247267819031818,152.102494433634,152.102494433634
12.4124124124124,-0.850334722574074,2.1474542933984,0.225614322244215,0.23296596044517,151.737996597998,151.737996597998
12.5125125125125,-0.853104663203704,2.17326138301451,0.180563909074378,0.246241267031903,151.373498710911,151.373498710911
12.6126126126126,-0.833874604333333,2.16056847213063,0.132685068072688,0.258809466130343,151.00900081982,151.00900081982
12.7127127127127,-0.848144544962963,2.17687556124675,0.0770280531850526,0.258649743167426,150.64450297037,150.64450297037
12.8128128128128,-0.840414485592593,2.19318265086286,0.0454126688577597,0.257075807349242,150.280005077277,150.280005077277
12.9129129129129,-0.843303187226727,2.19945883581381,0.0284786014906283,0.269600308582128,149.911979239489,149.911979239489
13.013013013013,-0.853410870402903,2.22367803722322,0.00573395603545509,0.258003050103921,149.537448193494,149.537448193494
13.1131131131131,-0.848518553573574,2.25918252420621,0.0342896593042601,0.256708740474222,149.162917192893,149.162917192893
13.2132132132132,-0.842849960478979,2.2804993227973,0.0461911929644739,0.25797742755743,148.788386093393,148.788386093393
13.3133133133133,-0.844733919931432,2.30147327870621,0.0560457268059008,0.268660756806347,148.413855093343,148.413855093343
13.4134134134134,-0.854801563067567,2.30955484239039,0.0633316014792319,0.306366324115562,148.039324043293,148.039324043293
13.5135135135135,-0.839949286283784,2.29677404343243,0.0778017942997551,0.318810695767346,147.664792987838,147.664792987838
13.6136136136136,-0.853553243098599,2.31036410346997,0.0530747952355163,0.320897446465159,147.275519331882,147.275519331882
13.7137137137137,-0.837678819980481,2.3288184261021,0.0128389052332652,0.372837331994389,146.870750200651,146.870750200651
13.8138138138138,-0.841304396396396,2.32477274888889,0.028104091814187,0.426898538085894,146.465981002402,146.465981002402
13.9139139139139,-0.835429972915916,2.34072707168519,0.0541978466032395,0.454089686505758,146.061211862563,146.061211862563
14.014014014014,-0.817555549746246,2.3586813944985,0.0972621631661082,0.457239204389346,145.656442660761,145.656442660761
14.1141141141141,-0.813181126144144,2.41113571734535,0.148104655124691,0.480894818783656,145.251673501952,145.251673501952
14.2142142142142,-0.805655849654655,2.40394911534434,0.198733808884007,0.485657847965164,144.851385688038,144.851385688038
14.3143143143143,-0.789237470053053,2.42553161644895,0.238192506250287,0.483674285509987,144.522188735335,144.522188735335
14.4144144144144,-0.778583041599099,2.43675270248649,0.229901766965293,0.483421780687344,144.185150705405,144.185150705405
14.5145145145145,-0.726581765863864,2.44562916203754,0.245162142180746,0.465271876419208,143.848112663063,143.848112663063
14.6146146146146,-0.705359770195696,2.47190652230931,0.250210876013335,0.50595198112012,143.511074656356,143.511074656356
14.7147147147147,-0.685283419746247,2.47792562491291,0.260659528026394,0.511612251459805,143.17403663003,143.17403663003
14.8148148148148,-0.651317179037037,2.48929858087037,0.235839193928337,0.530449905422063,142.83699857037,142.83699857037
14.9149149149149,-0.631265034122122,2.50488988154504,0.221620762649394,0.555772379228492,142.479005918368,142.479005918368
15.015015015015,-0.605402709728228,2.51962461711712,0.188283737761432,0.58013039553843,142.111047733483,142.111047733483
15.1151151151151,-0.577184330962462,2.55566844484134,0.180906092720207,0.606339747724336,141.716496320621,141.716496320621
15.2152152152152,-0.563516406190691,2.59069914343894,0.164264707756524,0.632530532521306,141.320446051051,141.320446051051
15.3153153153153,-0.564848481013513,2.63422984165315,0.141966467970018,0.674984773010934,140.924395823874,140.924395823874
15.4154154154154,-0.560680556147147,2.68126054005656,0.167044382962565,0.739359324864004,140.528345572372,140.528345572372
15.5155155155155,-0.56410603501952,2.72626693281181,0.175990934821921,0.806596675959164,140.129520626226,140.129520626226
15.6156156156156,-0.539346815887387,2.78106116587538,0.171948362197006,0.833121873654467,139.706475859009,139.706475859009
15.7157157157157,-0.533587596755255,2.81585539914164,0.167905789572091,0.886517128748195,139.283431083984,139.283431083984
15.8158158158158,-0.526242897282783,2.88056220893393,0.166105424747361,0.900190769626683,138.907485466216,138.907485466216
15.9159159159159,-0.519687698357357,2.92582379598498,0.164602751103869,0.913234769052017,138.537793127027,138.537793127027
16.016016016016,-0.512632499431932,2.9790853825981,0.135522912994102,0.916379274335616,138.168100759459,138.168100759459
16.1161161161161,-0.495577300506507,3.02834696971121,0.0923009392606044,0.896896361914138,137.798408374124,137.798408374124
16.2162162162162,-0.497447037932432,3.06996090314865,0.0758428671822351,0.854861069099209,137.445799156757,137.445799156757
16.3163163163163,-0.490186120193193,3.09763567379179,0.0730830962789706,0.842446718602967,137.099792125676,137.099792125676
16.4164164164164,-0.460700477864364,3.14369633019019,0.0451852901976054,0.800879608267422,136.753785146346,136.753785146346
16.5165165165165,-0.464565712962463,3.14798943130781,0.05356082112205,0.789339710426498,136.387690466967,136.387690466967
16.6166166166166,-0.455331105680681,3.19516759349149,0.0465212013081168,0.777637263074071,136.008474375225,136.008474375225
16.7167167167167,-0.440596498401401,3.21134575488238,0.0585734645826812,0.770177456115729,135.629258374775,135.629258374775
16.8168168168168,-0.424619023843844,3.26595700542793,0.0688680473925071,0.769176237602151,135.242403758108,135.242403758108
16.9169169169169,-0.408641309087588,3.27043820662362,0.0522922335143981,0.785329498427342,134.84070300045,134.84070300045
17.017017017017,-0.399672603706206,3.31642841684084,0.049871296475547,0.796520271139199,134.439002244795,134.439002244795
17.1171171171171,-0.380915610292792,3.32813033908559,0.0519924053354297,0.829331948940453,134.037301510811,134.037301510811
17.2172172172172,-0.366529624174674,3.37720331465566,0.0355862742174398,0.86427369810006,133.628593829179,133.628593829179
17.3173173173173,-0.352956344723224,3.3929629597032,0.0211777454542205,0.891026009080962,133.213942001151,133.213942001151
17.4174174174174,-0.312576758852853,3.42696134388138,0.0296705577782776,0.918854905507831,132.79929017958,132.79929017958
17.5175175175175,-0.306301151932933,3.44515516634685,0.0185114286710394,0.94216476900382,132.353983957608,132.353983957608
17.6176176176176,-0.301158188882382,3.48967181889189,0.0443094389445298,0.955118588117911,131.899250982382,131.899250982382
17.7177177177177,-0.281274985591593,3.54792570819669,0.0653573054657235,0.99315664795297,131.444518023123,131.444518023123
17.8178178178178,-0.256825215734235,3.57233475293543,0.063164787549002,1.02717149001986,130.989785054304,130.989785054304
17.9179179179179,-0.232751836795797,3.63217903391642,0.0618541860523646,1.00806173371319,130.537029124024,130.537029124024
18.018018018018,-0.215682116536036,3.69529203980631,0.078923186713571,0.997817292923926,130.086439305405,130.086439305405
18.1181181181181,-0.162193393473473,3.76875566158208,0.0636145056901786,1.02509089594083,129.62565246967,129.62565246967
18.2182182182182,-0.148757006086587,3.83457555314665,0.0766641097365845,1.00802003716226,129.148457632132,129.148457632132
18.3183183183183,-0.1353206186997,3.93739544496697,0.0628436560979015,1.02206187711759,128.671262745495,128.671262745495
