timestamp,angle_interp,pMMG
0,168.6903574,5.022798004
0.001,168.69233,5.038799317
0.002,168.6943027,5.038800631
0.003,168.6962754,5.038801945
0.004,168.6982481,5.057803258
0.005,168.7002208,5.038804572
0.006,168.7021935,5.038805886
0.007,168.7041661,5.0388072
0.008,168.7061388,5.057808513
0.009,168.7081115,5.057809827
0.01,168.7100842,5.038811141
0.011,168.7120569,5.038812455
0.012,168.7140296,5.038813768
0.013,168.7160022,5.038815082
0.014,168.7179749,5.038816396
0.015,168.7199476,5.038817709
0.016,168.720293,5.03881794
0.017,168.7206384,5.03881817
0.018,168.7209838,5.0388184
0.019,168.7213292,5.03881863
0.02,168.7216746,5.03881886
0.021,168.7220199,5.03881909
0.022,168.7223653,5.03881932
0.023,168.7227107,5.03881955
0.024,168.7230561,5.03881978
0.025,168.7234015,4.99982001
0.026,168.7237469,4.98082024
0.027,168.7240923,4.98082047
0.028,168.7244377,4.9808207
0.029,168.7247831,4.98082093
0.03,168.7251285,4.94182116
0.031,168.7254739,4.94182139
0.032,168.7258192,4.94182162
0.033,168.7261646,4.92182185
0.034,168.72651,4.92182208
0.035,168.7268554,4.92182231
0.036,168.7272008,4.92182254
0.037,168.7275462,4.92182277
0.038,168.7278916,4.921823
0.039,168.728237,4.92182323
0.04,168.7285824,4.92182346
0.041,168.7289278,4.92182369
0.042,168.7292732,4.92182392
0.043,168.7296185,4.92182415
0.044,168.7299639,4.92182438
0.045,168.7303093,4.92182461
0.046,168.7306547,4.92182484
0.047,168.7310001,4.92182507
0.048,168.7313455,4.9218253
0.049,168.7332537,4.902826571
0.05,168.7351618,4.902827842
0.051,168.73707,4.902829112
0.052,168.7389781,4.902830383
0.053,168.7408863,4.902831654
0.054,168.7427945,4.902832925
0.055,168.7447026,4.902834195
0.056,168.7466108,4.902835466
0.057,168.748519,4.921836737
0.058,168.7504271,4.921838008
0.059,168.7523353,4.921839278
0.06,168.7542434,4.921840549
0.061,168.7561516,4.92184182
0.062,168.7580598,4.921843091
0.063,168.7599679,4.921844361
0.064,168.7618761,4.921845632
0.065,168.7637842,4.921846903
0.066,168.7656924,4.941848174
0.067,168.7676006,4.941849444
0.068,168.7695087,4.941850715
0.069,168.7714169,4.941851986
0.07,168.7733251,4.941853257
0.071,168.7752332,4.941854528
0.072,168.7771414,4.941855798
0.073,168.7790495,4.941857069
0.074,168.7809577,4.94185834
0.075,168.7828659,4.941859611
0.076,168.784774,4.941860881
0.077,168.7866822,4.941862152
0.078,168.7885904,4.941863423
0.079,168.7904985,4.941864694
0.08,168.7924067,4.941865964
0.081,168.7943148,4.941867235
